TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;cXTran;cYTran;cZTran
44.92971;0.0270356;0.1401903;0.7358347;0.1888565;0.113777;0.755227;0.3522553;-0.0264133;0.0193923;0.1633988
44.95468;0.0520029;0.1403945;0.7356876;0.1885224;0.1138401;0.7552059;0.3518982;-0.0265544;0.0195183;0.1633758
44.97694;0.074266;0.1403282;0.7354872;0.1887861;0.1137139;0.7550846;0.3521471;-0.0266143;0.0195974;0.163361
45.00071;0.0980324;0.1402601;0.7352858;0.1892857;0.1136304;0.7549231;0.3526419;-0.0266297;0.0196373;0.1633562
45.02477;0.1220917;0.1403465;0.7352781;0.1896748;0.1137357;0.7549946;0.3530277;-0.0266108;0.0197165;0.1633529
45.04962;0.1469461;0.1404049;0.7353489;0.190212;0.113808;0.7550918;0.3535619;-0.0265969;0.0197429;0.1633499
45.07526;0.1725842;0.140098;0.7355179;0.1906831;0.1135579;0.7554499;0.354011;-0.0265401;0.019932;0.1633279
45.09949;0.1968198;0.1395939;0.7358513;0.1908848;0.1130864;0.7558255;0.3542068;-0.0265075;0.0199742;0.163322
45.12204;0.2193683;0.1393208;0.7356892;0.1911719;0.1128596;0.7558995;0.3544687;-0.0264612;0.0202103;0.1632968
45.14581;0.2431337;0.1390993;0.735529;0.1913345;0.1126456;0.7557182;0.3546312;-0.0264537;0.0201892;0.1632967
45.17065;0.2679801;0.1390742;0.735255;0.1912619;0.1126295;0.7554458;0.3545592;-0.0264447;0.0201908;0.1632973
45.19316;0.2904893;0.1392543;0.7348384;0.1911769;0.1128527;0.7551332;0.3544694;-0.0264016;0.0202948;0.1632925
45.22092;0.3182471;0.1392822;0.7346041;0.1911345;0.1128742;0.75488;0.3544265;-0.026408;0.0202759;0.163292
45.24514;0.3424581;0.1392176;0.7346784;0.1911986;0.1128207;0.7550383;0.3544824;-0.0263969;0.0203599;0.1632838
45.26721;0.3645352;0.1389056;0.7348109;0.1913036;0.1124871;0.7551158;0.354587;-0.0264185;0.0203049;0.1632834
45.29143;0.388749;0.138946;0.735271;0.1912938;0.1125269;0.7555356;0.3545806;-0.0264191;0.0202646;0.1632868
45.3153;0.4126157;0.1388496;0.7358868;0.191602;0.1124046;0.7560955;0.3548895;-0.026445;0.0202087;0.1632875
45.34024;0.4375552;0.1386705;0.7358138;0.1919463;0.1121535;0.7559778;0.3552293;-0.026517;0.020164;0.163283
45.36587;0.4631863;0.1388005;0.7354987;0.1920879;0.1122448;0.7556632;0.3553681;-0.0265557;0.0201645;0.1632802
45.38863;0.4859529;0.1390529;0.7351314;0.1919011;0.112486;0.7553372;0.3551784;-0.0265669;0.0202058;0.1632773
45.41242;0.5097369;0.1392176;0.7345957;0.1917033;0.1126972;0.7548415;0.3549854;-0.0265204;0.0202458;0.1632821
45.43517;0.5324866;0.1391569;0.7341045;0.1914733;0.1127811;0.7545086;0.3547592;-0.0263758;0.0204041;0.1632859
45.45793;0.5552468;0.1387872;0.7339747;0.1913276;0.1125099;0.7544634;0.3546211;-0.0262773;0.0204887;0.1632935
45.48258;0.5799003;0.1383212;0.7341119;0.1913312;0.1121771;0.7547044;0.3546327;-0.0261441;0.0205925;0.1633015
45.50531;0.6026231;0.1379028;0.7344029;0.191389;0.1119319;0.7550577;0.3547061;-0.0259709;0.0206548;0.1633171
45.53316;0.6304734;0.1377249;0.73462;0.19142;0.111822;0.7552941;0.3547425;-0.0259029;0.0206741;0.1633225
45.55513;0.6524412;0.1376261;0.7349412;0.1915445;0.1118215;0.7556102;0.3548752;-0.0258046;0.020669;0.1633307
45.57921;0.676527;0.1375617;0.7351842;0.1918862;0.1117755;0.7558342;0.3552187;-0.0257862;0.02065;0.1633325
45.60692;0.7042361;0.1371429;0.7350323;0.1921111;0.1113674;0.7556578;0.3554479;-0.0257755;0.0206255;0.1633368
45.63061;0.7279224;0.1369014;0.7345432;0.1920937;0.1111735;0.7551522;0.3554366;-0.0257279;0.020609;0.1633429
45.6566;0.7539206;0.13691;0.7343534;0.1918897;0.1112422;0.7549205;0.3552437;-0.0256678;0.0205671;0.163354
45.67749;0.7748067;0.1369712;0.7344519;0.1917658;0.1113262;0.7550192;0.3551232;-0.025645;0.0205673;0.1633574
45.70102;0.7983399;0.1370264;0.7346297;0.1919005;0.1113692;0.7551809;0.3552581;-0.0256572;0.0205512;0.1633576
45.72812;0.8254409;0.1371043;0.7348405;0.1921488;0.1114619;0.7553992;0.3555089;-0.0256424;0.0205587;0.1633601
45.74924;0.8465638;0.1371521;0.7350752;0.1923752;0.1115117;0.7556354;0.3557336;-0.0256404;0.0205602;0.1633584
45.7712;0.8685189;0.1370807;0.7351081;0.1923332;0.1114208;0.755662;0.3556888;-0.0256599;0.0205539;0.1633556
45.79954;0.8968636;0.1368084;0.7349399;0.1924251;0.1111295;0.7554775;0.355781;-0.0256789;0.0205376;0.1633559
45.82179;0.9191105;0.1366927;0.734795;0.1926328;0.1110588;0.7553058;0.3560001;-0.0256339;0.0205108;0.1633673
45.84751;0.9448292;0.1366391;0.7348334;0.192727;0.1110097;0.7553251;0.3560981;-0.0256294;0.0204917;0.1633711
45.86973;0.9670531;0.1365734;0.7347179;0.1924611;0.110942;0.7551763;0.355837;-0.0256314;0.0204584;0.1633759
45.89398;0.991303;0.1369881;0.7348024;0.1919852;0.1113487;0.7553133;0.3553545;-0.0256394;0.0205109;0.1633693
45.92208;1.019401;0.1372188;0.7349273;0.1918623;0.1116329;0.7554718;0.3552316;-0.0255859;0.0205445;0.1633693
45.94601;1.043335;0.1370718;0.7348684;0.1917781;0.1114709;0.7553427;0.3551495;-0.0256009;0.0204743;0.1633714
45.96842;1.065743;0.1368234;0.7347517;0.1916948;0.1112238;0.7552125;0.3550664;-0.0255996;0.0204608;0.1633716
45.99195;1.089273;0.1367803;0.7349849;0.1916762;0.1111443;0.7554949;0.3550367;-0.025636;0.02051;0.1633605
46.01506;1.112379;0.1369187;0.7352465;0.191776;0.1112476;0.7557401;0.3551356;-0.0256711;0.0204936;0.1633596
46.03794;1.135267;0.137076;0.7354543;0.1919373;0.111388;0.7559357;0.3552961;-0.025688;0.0204814;0.1633588
46.06716;1.164482;0.1374485;0.7353906;0.1919493;0.1117622;0.7558452;0.3553087;-0.0256863;0.0204546;0.1633594
46.0991;1.196418;0.1376715;0.7352203;0.1919706;0.1119968;0.7557549;0.355319;-0.0256747;0.0205346;0.1633484
46.11402;1.211337;0.1376132;0.735057;0.1919834;0.1119349;0.7555413;0.3553341;-0.0256783;0.0204843;0.1633507
46.13726;1.23458;0.1374653;0.7349036;0.1919525;0.1118054;0.7554685;0.3552972;-0.0256599;0.0205649;0.1633447
46.15989;1.257211;0.1372975;0.7348415;0.191969;0.1116619;0.7554294;0.3553168;-0.0256356;0.0205879;0.1633478
46.18812;1.285439;0.1371836;0.7347654;0.1918784;0.1115517;0.7553624;0.3552277;-0.0256319;0.020597;0.1633493
46.21271;1.310024;0.1370943;0.7347699;0.1916789;0.1114591;0.7553677;0.3550286;-0.0256352;0.0205978;0.1633497
46.23687;1.334186;0.1370637;0.7349792;0.1915536;0.1114349;0.7556276;0.3548985;-0.0256288;0.0206484;0.1633449
46.258;1.355313;0.1371399;0.7353569;0.1915331;0.1114884;0.7560467;0.3548695;-0.0256515;0.0206898;0.1633364
46.28161;1.378924;0.1370191;0.7354259;0.1915984;0.1113629;0.7561902;0.3549255;-0.0256562;0.0207643;0.1633271
46.31536;1.412674;0.1367569;0.7353292;0.1916332;0.1110771;0.7560771;0.3549604;-0.0256798;0.0207479;0.1633272
46.33822;1.435539;0.1365798;0.735055;0.1917615;0.1108814;0.7557998;0.3550873;-0.0256984;0.0207448;0.1633258
46.36337;1.460681;0.1363969;0.7349314;0.1921178;0.1106782;0.7556545;0.3554447;-0.0257187;0.0207231;0.1633269
46.38878;1.486094;0.1364698;0.7348879;0.1923827;0.1106635;0.755706;0.3556853;-0.0258063;0.0208181;0.1633026
46.41045;1.507764;0.1366168;0.7347727;0.1927144;0.1108086;0.7556728;0.3560091;-0.0258082;0.0209001;0.1632947
46.43615;1.533466;0.13662;0.7344962;0.1928621;0.1108328;0.7555205;0.3561489;-0.0257872;0.0210243;0.1632868
46.45843;1.555744;0.1367324;0.7338644;0.1927485;0.1109518;0.7550653;0.3560281;-0.0257806;0.0212009;0.1632796
46.48075;1.578061;0.1367434;0.7334881;0.1928764;0.111046;0.754859;0.3561515;-0.0256974;0.0213709;0.1632751
46.5051;1.602412;0.1366059;0.7334229;0.1929168;0.1108945;0.7548363;0.3561871;-0.0257114;0.0214134;0.1632703
46.53359;1.630908;0.1366444;0.7332411;0.1926838;0.110981;0.7547244;0.3559549;-0.0256634;0.0214833;0.1632711
46.55703;1.65434;0.1364421;0.733248;0.1925006;0.1108387;0.7547048;0.3557763;-0.0256034;0.0214568;0.1632757
46.57935;1.676664;0.1360326;0.7333869;0.1926381;0.1104578;0.7548208;0.3559154;-0.0255748;0.0214339;0.1632773
46.60422;1.701531;0.135895;0.7338451;0.192685;0.1103409;0.7552209;0.3559683;-0.0255541;0.0213758;0.1632833
46.62653;1.723843;0.1358485;0.7341022;0.1928232;0.110318;0.7554355;0.3561136;-0.0255305;0.0213333;0.1632904
46.65712;1.754436;0.1358952;0.734304;0.1927266;0.1103552;0.755676;0.3560091;-0.02554;0.021372;0.1632825
46.67851;1.775827;0.136012;0.7343885;0.1926763;0.1104534;0.7557602;0.3559557;-0.0255586;0.0213717;0.1632794
46.70148;1.798801;0.136039;0.734401;0.1925889;0.1104904;0.7557898;0.3558703;-0.0255486;0.0213888;0.1632814
46.72377;1.821083;0.1359405;0.7341009;0.1925068;0.1103978;0.7555458;0.3557855;-0.0255427;0.0214449;0.1632787
46.74836;1.845674;0.1359573;0.7337034;0.1924027;0.110412;0.7551735;0.35568;-0.0255453;0.0214701;0.1632773
46.76984;1.867158;0.1361005;0.7335219;0.192318;0.1105374;0.7550622;0.3555896;-0.0255631;0.0215403;0.1632716
46.79481;1.89213;0.1360164;0.7333363;0.1924069;0.1103495;0.7551741;0.3556371;-0.0256669;0.0218378;0.1632302
46.81799;1.915308;0.1361083;0.7329752;0.1924135;0.1104635;0.7549179;0.3556418;-0.0256448;0.0219427;0.1632283
46.8447;1.942024;0.1363629;0.7325512;0.1923356;0.1107167;0.7547121;0.3555488;-0.0256462;0.0221609;0.1632132
46.86771;1.965032;0.1364061;0.7322015;0.1923771;0.1107442;0.7544582;0.3555836;-0.0256619;0.0222567;0.1632065
46.89145;1.988772;0.1362092;0.7321566;0.1924793;0.1106343;0.7546191;0.3556775;-0.0255749;0.0224625;0.1631982
46.91356;2.010879;0.1359112;0.7322109;0.1928712;0.1103157;0.7546358;0.3560695;-0.0255955;0.0224249;0.1631983
46.93737;2.03469;0.1355365;0.7323084;0.1932978;0.1100079;0.7547927;0.356499;-0.0255286;0.0224843;0.1632012
46.96122;2.058534;0.1353302;0.7323382;0.1937326;0.1098448;0.7548211;0.3569358;-0.0254854;0.0224829;0.1632032
46.98663;2.083942;0.1351327;0.7321338;0.1940953;0.1096693;0.7546344;0.3572994;-0.0254634;0.0225006;0.1632041
47.01096;2.108271;0.135039;0.7320611;0.1941171;0.1096168;0.7545393;0.3573286;-0.0254222;0.0224782;0.1632115
47.03424;2.131561;0.1351302;0.7319758;0.1938422;0.1097357;0.7544703;0.3570552;-0.0253945;0.0224945;0.163213
47.05803;2.155342;0.1351309;0.7318599;0.1936519;0.1097885;0.7543235;0.3568714;-0.0253424;0.0224636;0.1632195
47.0787;2.176019;0.1352922;0.7318478;0.193541;0.1099556;0.7542652;0.356767;-0.0253366;0.0224174;0.163226
47.1019;2.199217;0.1355349;0.7320079;0.1934994;0.1101993;0.7544195;0.356726;-0.0253356;0.0224116;0.1632266
47.12645;2.223765;0.1357785;0.7321341;0.1936966;0.1104488;0.7544806;0.356932;-0.0253297;0.0223465;0.1632354
47.15113;2.248453;0.1358193;0.7322111;0.1940499;0.1104847;0.7545202;0.3572876;-0.0253346;0.0223091;0.1632377
47.17873;2.276052;0.1357204;0.7321478;0.1943216;0.1103909;0.7544039;0.3575659;-0.0253295;0.0222561;0.1632443
47.20338;2.300704;0.1355314;0.7320585;0.1943672;0.1102679;0.7542231;0.3576297;-0.0252635;0.0221646;0.1632625
47.224;2.321322;0.1352761;0.7321239;0.1942368;0.1101539;0.7540665;0.357542;-0.0251222;0.0219426;0.1633052
47.24876;2.346085;0.1350149;0.7323267;0.1942203;0.1099208;0.754239;0.3575292;-0.0250941;0.0219123;0.1633089
47.27001;2.367332;0.1349632;0.7326407;0.1942516;0.1099081;0.7545069;0.3575649;-0.0250551;0.0218662;0.1633133
47.29282;2.390143;0.134906;0.7327908;0.1943296;0.1098511;0.7546018;0.3576474;-0.0250549;0.021811;0.1633178
47.31293;2.410254;0.1351354;0.7332146;0.1943907;0.1100354;0.7550259;0.3577046;-0.0251;0.0218113;0.1633139
47.34185;2.439164;0.1352445;0.7333726;0.1942943;0.1100842;0.7550972;0.3576099;-0.0251603;0.0217246;0.1633156
47.36558;2.462896;0.1352398;0.7332464;0.1939267;0.1100638;0.7549576;0.3572411;-0.025176;0.0217112;0.1633144
47.38803;2.485344;0.1350125;0.7330778;0.1934488;0.1098023;0.7547525;0.3567622;-0.0252102;0.0216747;0.1633134
47.4114;2.508718;0.13493;0.73309;0.1933202;0.1096833;0.7547764;0.3566315;-0.0252467;0.0216864;0.1633113
47.43568;2.533003;0.1350161;0.7332672;0.1934115;0.1097428;0.7549542;0.3567213;-0.0252733;0.021687;0.1633098
47.46155;2.558866;0.1348789;0.7332234;0.1936705;0.1096512;0.7549556;0.356985;-0.0252277;0.0217322;0.1633145
47.48679;2.584112;0.1348589;0.7330683;0.1938498;0.1096501;0.7548312;0.3571638;-0.0252088;0.0217629;0.163314
47.50363;2.600949;0.1350168;0.733097;0.194146;0.1098195;0.7548444;0.3574615;-0.0251973;0.0217474;0.1633155
47.53233;2.629648;0.1349466;0.7330775;0.19414;0.1097068;0.7547535;0.3574516;-0.0252398;0.021676;0.1633116
47.55523;2.652546;0.134767;0.7330536;0.1939201;0.109533;0.7545645;0.3572415;-0.025234;0.0215109;0.1633214
47.57754;2.674856;0.1346167;0.7330266;0.1937546;0.1093809;0.7544654;0.3570781;-0.0252358;0.0214388;0.1633235
47.60147;2.698783;0.1349776;0.7335935;0.193386;0.1097149;0.754931;0.3567138;-0.0252627;0.0213375;0.1633278
47.64131;2.738622;0.1353208;0.7339527;0.1935048;0.1099592;0.7551472;0.3568329;-0.0253616;0.0211945;0.1633281
47.66438;2.761689;0.1355699;0.7341812;0.1936375;0.1101845;0.7553621;0.3569638;-0.0253854;0.0211809;0.1633263
47.68581;2.78312;0.135624;0.7341861;0.1937533;0.1102172;0.7553477;0.3570783;-0.0254068;0.0211616;0.163325
47.70901;2.806327;0.1356283;0.7339426;0.1934896;0.1101826;0.7550848;0.3568144;-0.0254457;0.0211422;0.1633248
47.73188;2.829198;0.1353782;0.7337795;0.1932676;0.1099249;0.7549214;0.3565928;-0.0254533;0.0211419;0.1633252
47.75568;2.853;0.1350719;0.7335925;0.1931217;0.1096218;0.7547557;0.35645;-0.0254501;0.0211632;0.1633283
47.77891;2.876226;0.1349953;0.7334707;0.1932084;0.1095355;0.7546427;0.3565357;-0.0254598;0.021172;0.1633273
47.8031;2.900419;0.1350593;0.7334832;0.1932773;0.1095856;0.7546682;0.3566036;-0.0254737;0.021185;0.1633263
47.82958;2.926896;0.1350941;0.7335771;0.1933132;0.1096225;0.754765;0.3566415;-0.0254716;0.0211879;0.1633283
47.85241;2.949719;0.1352079;0.7336426;0.1934113;0.1097483;0.7548227;0.3567426;-0.0254596;0.0211801;0.1633313
47.87464;2.971954;0.1353176;0.7335132;0.1936027;0.1098364;0.7546842;0.3569331;-0.0254812;0.021171;0.1633304
47.89829;2.995605;0.1353302;0.7332405;0.1937363;0.1098468;0.7544302;0.3570659;-0.0254834;0.0211897;0.1633296
47.92079;3.018105;0.1352939;0.7330752;0.193859;0.1097997;0.7542989;0.3571846;-0.0254942;0.0212237;0.1633256
47.93921;3.036522;0.1350994;0.7329243;0.1940218;0.1096127;0.7542133;0.3573424;-0.0254867;0.021289;0.1633206
47.9671;3.064416;0.1350841;0.732937;0.1941608;0.109628;0.7542658;0.3574845;-0.0254561;0.0213288;0.1633237
47.98945;3.086761;0.1350694;0.7330853;0.1940896;0.1096633;0.7544485;0.3574095;-0.0254061;0.0213632;0.1633199
48.01336;3.110675;0.1349765;0.7330273;0.1936911;0.1096118;0.7543863;0.3570149;-0.0253647;0.021359;0.1633238
48.04148;3.138789;0.1348289;0.733032;0.1931164;0.1094799;0.7543033;0.3564471;-0.025349;0.0212713;0.1633307
48.06593;3.163243;0.1349427;0.7333283;0.1925927;0.1095849;0.7545628;0.3559257;-0.0253578;0.0212345;0.163333
