TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;cXTran;cYTran;cZTran
55.60307;0.0221677;0.04300644;0.7703784;0.3101069;-0.02265183;0.7917222;0.461783;-0.06565827;0.0213438;0.1516761
55.62834;0.047444;0.04302771;0.7703433;0.310134;-0.02261734;0.7917002;0.4618123;-0.06564505;0.0213569;0.1516783
55.64978;0.0688843;0.0430137;0.7703449;0.3097985;-0.02261825;0.7917182;0.4614812;-0.06563195;0.0213733;0.1516827
55.67582;0.0949208;0.04295655;0.7703256;0.3092707;-0.02266367;0.7916993;0.4609599;-0.06562022;0.0213737;0.1516892
55.70229;0.1213958;0.0431458;0.7705504;0.3088372;-0.02245007;0.7919195;0.4605381;-0.06559587;0.0213691;0.1517009
55.73475;0.1538525;0.04303223;0.771135;0.3090852;-0.02254633;0.7925072;0.4607957;-0.06557856;0.0213722;0.1517105
55.75801;0.1771219;0.04284224;0.7717863;0.3096457;-0.02275124;0.7931535;0.4613524;-0.06559348;0.0213672;0.1517067
55.77982;0.1989322;0.04245481;0.772198;0.3101809;-0.02311457;0.7935527;0.461899;-0.06556938;0.0213547;0.1517181
55.81084;0.2299523;0.04248332;0.772046;0.3100899;-0.02304166;0.7934123;0.4618265;-0.06552498;0.0213663;0.1517366
55.82811;0.2472173;0.04290107;0.7717227;0.3094275;-0.02265893;0.7930807;0.4611557;-0.06556;0.021358;0.1517282
55.8493;0.2684061;0.04381053;0.7711186;0.3079538;-0.02175623;0.7924717;0.4596808;-0.06556676;0.0213531;0.151727
55.87559;0.2946961;0.04422037;0.7705922;0.30718;-0.02135536;0.7919453;0.4589041;-0.06557573;0.0213531;0.1517241
55.90456;0.3236645;0.04400494;0.7701757;0.3071201;-0.02156438;0.791531;0.4588452;-0.06556932;0.0213553;0.1517251
55.92586;0.344961;0.04357721;0.770042;0.3077845;-0.02194468;0.7914026;0.4595256;-0.06552189;0.0213606;0.1517411
55.96566;0.3847592;0.0432695;0.7704883;0.3082188;-0.02219367;0.7918638;0.4599825;-0.06546317;0.0213755;0.1517637
55.98862;0.4077263;0.0431709;0.7705968;0.3083348;-0.02216755;0.7919348;0.4601584;-0.06533845;0.021338;0.1518236
56.00864;0.4277431;0.04304641;0.7707196;0.3085029;-0.02230178;0.792075;0.4603251;-0.06534819;0.0213554;0.1518222
56.04232;0.4614227;0.0434432;0.7706994;0.3083141;-0.02191852;0.7920624;0.4601311;-0.06536172;0.021363;0.151817
56.05644;0.4755423;0.04401433;0.7702276;0.308135;-0.02135113;0.7915938;0.4599503;-0.06536546;0.0213662;0.1518153
56.0849;0.5039987;0.04399467;0.7697893;0.3082203;-0.02137801;0.7911618;0.4600321;-0.06537268;0.0213725;0.1518118
56.10699;0.5260964;0.04394438;0.769759;0.3087007;-0.02142055;0.7911444;0.460512;-0.06536493;0.0213854;0.1518113
56.13211;0.5512094;0.04387029;0.7697929;0.3090971;-0.02149759;0.7911849;0.4609064;-0.06536788;0.021392;0.1518093
56.15877;0.5778687;0.04291636;0.7696594;0.3096205;-0.02245152;0.7910514;0.4614298;-0.06536788;0.021392;0.1518093
56.18838;0.6074822;0.04216366;0.7691921;0.3092253;-0.02318159;0.7905577;0.4610493;-0.06534525;0.0213656;0.151824
56.21499;0.6340896;0.041727;0.7687391;0.3085794;-0.02355898;0.79008;0.4604329;-0.06528598;0.0213409;0.1518535
56.23822;0.6573255;0.0416348;0.7684802;0.308437;-0.02366571;0.7898157;0.4602869;-0.06530051;0.0213355;0.1518499
56.25633;0.6754312;0.0426001;0.7684039;0.3082763;-0.02270124;0.7897461;0.4601248;-0.06530134;0.0213422;0.1518485
56.29174;0.7108375;0.04255876;0.7680044;0.30729;-0.02279174;0.7893214;0.459129;-0.0653505;0.021317;0.151839
56.31575;0.7348539;0.0423217;0.7677954;0.307449;-0.02302565;0.7891133;0.4592893;-0.06534735;0.0213179;0.1518403
