TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;cXTran;cYTran;cZTran
40.63815;0.0261892;-0.07395153;0.9282894;0.5060546;-0.4651607;1.117621;0.9390566;-0.39120917;0.1893316;0.433002
40.65998;0.0480178;-0.07395153;0.9282894;0.5060546;-0.4668161;1.11877;0.941336;-0.39286457;0.1904806;0.4352814
40.68103;0.0690645;-0.07395153;0.9282894;0.5060546;-0.4701268;1.12107;0.9458947;-0.39617527;0.1927806;0.4398401
40.70625;0.0942829;-0.07395153;0.9282894;0.5060546;-0.4717822;1.12222;0.948174;-0.39783067;0.1939306;0.4421194
40.72704;0.1150754;-0.07395153;0.9282894;0.5060546;-0.4734375;1.12337;0.9504533;-0.39948597;0.1950806;0.4443987
40.75034;0.1383757;-0.07395153;0.9282894;0.5060546;-0.4750929;1.12452;0.9527327;-0.40114137;0.1962306;0.4466781
40.77211;0.1601468;-0.07395153;0.9282894;0.5060546;-0.4767483;1.12567;0.955012;-0.40279677;0.1973806;0.4489574
40.79558;0.1836188;-0.07395153;0.9282894;0.5060546;-0.4784037;1.12682;0.9572914;-0.40445217;0.1985306;0.4512368
40.81658;0.2046135;-0.07395153;0.9282894;0.5060546;-0.480059;1.12797;0.9595707;-0.40610747;0.1996806;0.4535161
40.83924;0.2272755;-0.07395153;0.9282894;0.5060546;-0.4817144;1.12912;0.96185;-0.40776287;0.2008306;0.4557954
40.86305;0.2510813;-0.07395153;0.9282894;0.5060546;-0.4850251;1.131419;0.9664087;-0.41107357;0.2031296;0.4603541
40.8856;0.2736365;-0.07395153;0.9282894;0.5060546;-0.4866805;1.132569;0.9686881;-0.41272897;0.2042796;0.4626335
40.9049;0.2929267;-0.07395153;0.9282894;0.5060546;-0.4883359;1.133719;0.9709674;-0.41438437;0.2054296;0.4649128
40.92734;0.3153693;-0.07395153;0.9282894;0.5060546;-0.4899912;1.134869;0.9732468;-0.41603967;0.2065796;0.4671922
40.94872;0.3367519;-0.07395153;0.9282894;0.5060546;-0.4916466;1.136019;0.9755261;-0.41769507;0.2077296;0.4694715
40.97099;0.3590202;-0.07395153;0.9282894;0.5060546;-0.493302;1.137169;0.9778054;-0.41935047;0.2088796;0.4717508
40.9934;0.3814316;-0.07395153;0.9282894;0.5060546;-0.4949574;1.138319;0.9800848;-0.42100587;0.2100296;0.4740302
41.0159;0.403928;-0.07395153;0.9282894;0.5060546;-0.4966127;1.139469;0.9823641;-0.42266117;0.2111796;0.4763095
41.03782;0.4258484;-0.07395153;0.9282894;0.5060546;-0.4982681;1.140618;0.9846435;-0.42431657;0.2123286;0.4785889
41.05996;0.4479972;-0.07395153;0.9282894;0.5060546;-0.4999235;1.141768;0.9869228;-0.42597197;0.2134786;0.4808682
41.08215;0.4701883;-0.07395153;0.9282894;0.5060546;-0.5032341;1.144068;0.9914815;-0.42928257;0.2157786;0.4854269
41.10359;0.491624;-0.07395153;0.9282894;0.5060546;-0.5048895;1.145218;0.9937608;-0.43093797;0.2169286;0.4877062
41.12617;0.5142046;-0.07395153;0.9282894;0.5060546;-0.5065448;1.146368;0.9960402;-0.43259327;0.2180786;0.4899856
41.14808;0.5361186;-0.07395153;0.9282894;0.5060546;-0.5082002;1.147518;0.9983195;-0.43424867;0.2192286;0.4922649
41.17024;0.5582772;-0.07395153;0.9282894;0.5060546;-0.5098555;1.148668;1.000599;-0.43590397;0.2203786;0.4945444
41.19187;0.5799021;-0.07395153;0.9282894;0.5060546;-0.5115108;1.149818;1.002878;-0.43755927;0.2215286;0.4968234
41.21471;0.6027427;-0.07395153;0.9282894;0.5060546;-0.5131662;1.150967;1.005158;-0.43921467;0.2226776;0.4991034
41.24459;0.6326218;-0.07395153;0.9282894;0.5060546;-0.5164769;1.153267;1.009717;-0.44252537;0.2249776;0.5036624
41.2658;0.6538336;-0.07395153;0.9282894;0.5060546;-0.5181322;1.154417;1.011996;-0.44418067;0.2261276;0.5059414
41.28437;0.6723981;-0.07395153;0.9282894;0.5060546;-0.5197875;1.155567;1.014275;-0.44583597;0.2272776;0.5082204
41.31019;0.6982164;-0.07395153;0.9282894;0.5060546;-0.5214429;1.156717;1.016555;-0.44749137;0.2284276;0.5105004
41.3336;0.7216321;-0.07395153;0.9282894;0.5060546;-0.5230982;1.157867;1.018834;-0.44914667;0.2295776;0.5127794
