TotalTime;SegmentTime;XTran1
24.89732;0.0286382;0.1667427
24.91675;0.0480692;0.1666656
24.93844;0.0697558;0.1666814
24.95624;0.0875626;0.1663698
24.98911;0.1204262;0.166464
25.01324;0.1445646;0.1667206
25.0351;0.1664204;0.1668308
25.0615;0.1928199;0.166804
25.07764;0.2089561;0.1666014
25.10477;0.2360923;0.1664677
25.13059;0.2619132;0.1664125
25.14981;0.2811271;0.166189
25.17815;0.3094667;0.1661669
25.2044;0.3357146;0.1659701
25.22647;0.3577897;0.1655895
25.25059;0.3819047;0.1656022
25.26717;0.3984931;0.1657667
25.29614;0.4274586;0.1660559
25.32586;0.4571854;0.1662548
25.34897;0.4802878;0.166535
25.37035;0.5016701;0.166858
25.39441;0.5257351;0.1672876
25.41993;0.5512554;0.1674023
25.4399;0.5712252;0.1673657
25.45964;0.590967;0.1668647
25.48965;0.6209722;0.1667746
25.5122;0.6435218;0.1667699
25.54112;0.6724404;0.1667307
25.55592;0.6872439;0.1668235
25.5884;0.7197288;0.1671423
25.60762;0.7389475;0.1672892
25.62476;0.7560837;0.1677399
25.65741;0.7887332;0.1679376
25.68057;0.8118948;0.1679565
25.7063;0.8376232;0.167839
25.7217;0.8530307;0.167658
25.74915;0.8804765;0.1676251
25.77058;0.9019077;0.1676753
25.78867;0.9199904;0.1680041
25.81933;0.9506544;0.1680436
25.84626;0.9775875;0.1680339
25.86481;0.9961349;0.1681371
25.89282;1.024145;0.1683057
25.91097;1.042292;0.1682069
25.93477;1.06609;0.1680345
25.95868;1.090004;0.1677005
25.98256;1.113879;0.1674432
26.00961;1.140928;0.1673271
26.02798;1.159298;0.1673958
26.05154;1.182863;0.1676796
26.07929;1.210617;0.1679218
26.10213;1.233458;0.1681738
26.12602;1.257342;0.1682573
26.14882;1.280148;0.168217
26.17425;1.305573;0.1683314
26.1951;1.326428;0.1687721
26.21968;1.351008;0.1688934
26.24569;1.377009;0.1689476
26.26009;1.391411;0.1684982
26.29941;1.430736;0.1681815
26.31514;1.446458;0.1680247
26.33966;1.470984;0.1680367
26.35683;1.488157;0.1675901
26.3866;1.517925;0.1675636
26.41163;1.542952;0.1679822
26.43567;1.566988;0.168374
26.46004;1.591368;0.1684029
26.48696;1.618284;0.1684884
26.51229;1.643608;0.1683875
26.53635;1.667676;0.16818
26.5595;1.690824;0.1678496
26.58443;1.715751;0.1677265
26.60407;1.735394;0.1674184
26.63245;1.763775;0.1674523
26.6514;1.782721;0.1683886
26.68267;1.813996;0.168807
26.70439;1.835711;0.168909
26.72259;1.853912;0.1692337
26.75107;1.882394;0.1692537
26.77125;1.902574;0.169096
26.79511;1.926432;0.1687762
26.81908;1.950406;0.1685589
26.8408;1.97212;0.1682579
26.86889;2.000208;0.1682021
26.89088;2.022205;0.1682494
26.90694;2.038257;0.1685274
26.93914;2.070463;0.1689794
26.96009;2.091412;0.1689508
26.98355;2.114871;0.1690788
27.00582;2.137144;0.1688877
27.02877;2.160088;0.1685905
27.0501;2.181421;0.1684543
27.0692;2.200524;0.1680608
27.09721;2.22853;0.1678159
27.11917;2.250492;0.1678741
27.14284;2.274165;0.1681349
27.17139;2.302709;0.1683149
27.19274;2.324058;0.1685456
27.21123;2.342553;0.1686404
27.24111;2.372432;0.1680224
27.26156;2.392885;0.1677107
27.28699;2.41831;0.1676218
27.30678;2.438102;0.167552
27.33136;2.462682;0.167627
27.35378;2.485102;0.1676541
27.37263;2.503952;0.1679977
27.40061;2.531934;0.1679931
27.42647;2.557787;0.1679877
27.44714;2.578459;0.1680299
27.46567;2.596993;0.1683235
27.49494;2.62626;0.168058
27.51614;2.64746;0.1679309
27.53699;2.668316;0.1677109
27.55996;2.69128;0.1673708
27.58567;2.716994;0.1671624
27.60876;2.740083;0.1670007
27.63343;2.764754;0.1671508
27.64953;2.780853;0.1673357
27.6677;2.799019;0.1678196
27.69595;2.827267;0.1681143
27.71892;2.850243;0.1682418
27.7399;2.871218;0.1684376
27.762;2.893327;0.1685216
27.77803;2.909355;0.1687624
27.81052;2.941838;0.1687834
27.83086;2.962179;0.1687616
27.853;2.984326;0.1686018
27.87536;3.006681;0.1684458
27.89694;3.028263;0.1685043
27.91988;3.0512;0.1684887
27.94297;3.074294;0.168457
27.97329;3.104611;0.1684064
27.99098;3.122298;0.1682976
28.01929;3.15061;0.1681747
28.0341;3.165422;0.1680562
28.06299;3.194312;0.1681155
28.08547;3.216795;0.1681071
28.10642;3.237744;0.1682255
28.12869;3.260012;0.1682696
28.14612;3.277439;0.1685076
28.17311;3.304431;0.1685073
28.19046;3.321784;0.1685614
28.22002;3.351338;0.1685174
28.24138;3.372699;0.1684202
28.26666;3.397978;0.1685143
28.29647;3.427792;0.1684605
28.32164;3.45296;0.1682382
28.33938;3.470702;0.1679984
28.36049;3.491808;0.1680829
28.38354;3.514854;0.1681738
28.40588;3.537199;0.168415
28.44098;3.572299;0.1685417
28.46341;3.59473;0.168584
28.47947;3.610794;0.1686603
28.50736;3.63868;0.1685742
28.52959;3.660913;0.1685468
28.55877;3.690095;0.1686688
28.58571;3.717032;0.1687867
28.60908;3.740404;0.1687695
28.62625;3.757576;0.1687678
28.64991;3.781232;0.1687503
28.68338;3.814706;0.1687225
28.7073;3.838627;0.1687166
28.73179;3.863111;0.1687752
28.75193;3.883252;0.1688464
28.77657;3.90789;0.1688629
28.79433;3.92565;0.1686606
28.82479;3.956112;0.1685011
28.8417;3.973019;0.1684119
28.88113;4.012447;0.1684132
28.90363;4.034948;0.1684821
28.92618;4.057498;0.1684586
28.94926;4.080582;0.1685247
28.96948;0.0202204;0.168375
28.99781;0.0485504;0.1683837
29.02528;0.0760165;0.1683607
29.04347;0.094208;0.1675472
29.07328;0.1240241;0.1677311
29.09628;0.147015;0.1681638
29.12283;0.1735697;0.1680761
29.14857;0.1993156;0.1675809
29.16927;0.2200144;0.1670742
29.18668;0.2374246;0.1670996
29.21761;0.2683493;0.16708
29.24165;0.2923941;0.1670914
29.26386;0.3145992;0.1668405
29.28526;0.3360079;0.1665953
29.31349;0.3642346;0.1660382
29.33145;0.3821963;0.1656381
29.35882;0.4095627;0.1650336
29.38248;0.4332218;0.1643102
29.40155;0.4522922;0.1630921
29.42416;0.4748998;0.157831
29.45238;0.5031219;0.1559142
29.47266;0.523402;0.1553244
29.48983;0.5405709;0.1514759
29.52533;0.576071;0.1483693
29.55093;0.6016722;0.1446183
29.57421;0.6249588;0.1421814
29.58823;0.6389785;0.1366602
29.61604;0.6667906;0.1323455
29.63974;0.6904835;0.1282635
29.66163;0.7123769;0.1263416
29.68092;0.731665;0.119618
29.71198;0.7627297;0.1159068
29.73233;0.7830736;0.1116518
29.76022;0.8109633;0.107454
29.78478;0.8355295;0.1026296
29.80534;0.8560866;0.09721485
29.8343;0.8850496;0.08876956
29.87452;0.9252688;0.08264516
29.89583;0.946579;0.07934368
29.91164;0.9623888;0.07184567
29.94129;0.9920321;0.06404836
29.97146;1.022207;0.05845091
29.99389;1.04464;0.05203296
30.01892;1.069671;0.04682898
30.04465;1.095401;0.0406153
30.06947;1.120213;0.03683557
30.09166;1.142407;0.03515495
30.10947;1.160214;0.02813673
30.14229;1.193037;0.02275594
30.16207;1.212815;0.01699933
30.18567;1.23641;0.01348783
30.20236;1.253104;0.00907499
30.22431;1.275055;0.000990562
30.25656;1.307308;-0.008568363
30.29179;1.342539;-0.01371628
30.32446;1.375205;-0.01854913
30.34146;1.392211;-0.0225151
30.36057;1.411317;-0.02771655
30.38285;1.433592;-0.02918082
30.39948;1.450225;-0.03332028
30.42849;1.479237;-0.03450686
30.44679;1.497532;-0.03853571
30.48135;1.532099;-0.04123963
30.50541;1.556158;-0.04263368
30.52145;1.572191;-0.04687133
30.55072;1.601463;-0.04945594
30.57137;1.622114;-0.05162882
30.59561;1.646352;-0.05401251
30.61868;1.66943;-0.05574944
30.6357;1.686446;-0.05821884
30.65784;1.708587;-0.06564465
30.69278;1.743523;-0.06869588
30.71968;1.77042;-0.07061151
30.73817;1.788916;-0.07332667
30.76184;1.812584;-0.07680587
30.7883;1.839046;-0.0779248
30.80213;1.852871;-0.07815043
30.84038;1.891125;-0.07768741
30.85761;1.908357;-0.07391091
30.88528;1.936026;-0.06776705
30.9107;1.96145;-0.06249626
30.9267;1.977448;-0.05671715
30.95022;2.000966;-0.04634522
30.981;2.031751;-0.03904614
31.00625;2.057001;-0.03736313
31.02906;2.079805;-0.03615021
31.05358;2.104326;-0.03406355
31.08092;2.131668;-0.03078792
31.10776;2.158506;-0.02446409
31.13052;2.18127;-0.0228478
31.16365;2.214399;-0.02542438
31.18409;2.234836;-0.02572132
31.21563;2.266372;-0.02220098
31.24209;2.292838;-0.02021866
31.26036;2.311105;-0.02017005
31.28049;2.331239;-0.02005473
31.3153;2.366041;-0.01898545
31.3375;2.388244;-0.01897335
31.35524;2.405987;-0.0213778
31.39168;2.44242;-0.02461568
31.41696;2.4677;-0.02682763
31.44327;2.494017;-0.02764171
31.46258;2.513319;-0.03013428
31.49541;2.546157;-0.0322738
31.52121;2.571951;-0.03447054
31.55227;2.603008;-0.03540155
31.57205;2.62279;-0.03688891
31.59831;2.649053;-0.03679342
31.62715;2.67789;-0.03669787
31.65238;2.703123;-0.03590649
31.67774;2.728489;-0.03351147
31.7057;2.756443;-0.03161087
31.73016;2.780903;-0.0288721
31.7617;2.812444;-0.0273605
31.78191;2.832653;-0.02637436
31.79669;2.847439;-0.02742136
31.82752;2.878271;-0.02890491
31.85682;2.907564;-0.02953459
31.87575;2.926498;-0.03194853
31.90512;2.955862;-0.03279833
31.93521;2.985955;-0.03346574
31.95249;3.003238;-0.03461583
31.98311;3.033857;-0.03530825
32.01595;3.066693;-0.03684731
32.0429;3.093643;-0.04032873
32.07691;3.127656;-0.04142085
32.09959;3.150332;-0.04200995
32.12698;3.177722;-0.04270816
32.15139;3.202138;-0.04380055
32.18036;3.231108;-0.04440346
32.20539;3.256139;-0.04480075
32.22943;3.280174;-0.04504102
32.25639;3.307137;-0.04651128
32.29185;3.3426;-0.04644379
32.31895;3.369696;-0.04724026
32.34596;3.396705;-0.04844631
32.37284;3.423588;-0.04918449
32.40282;3.45357;-0.04836448
32.42732;3.478068;-0.05062178
32.46124;3.511988;-0.05276807
32.48398;3.534722;-0.05295588
32.50515;3.555889;-0.05338512
32.53282;3.583562;-0.05254672
32.57189;3.622631;-0.05302387
32.59639;3.647128;-0.05419515
32.62577;3.676504;-0.05327697
32.65117;3.7019;-0.05364415
32.66565;3.716389;-0.05173625
32.70894;3.759675;-0.05116783
32.72815;3.778891;-0.05118541
32.75136;3.802096;-0.05064532
32.78336;3.834095;-0.05010261
32.8054;3.856142;-0.04992594
32.84002;3.890756;-0.04987621
32.86198;3.912723;-0.04952383
32.88752;3.938255;-0.0502395
32.91177;3.962514;-0.04941446
32.94961;4.000347;-0.04847966
32.97576;4.026498;-0.04723288
33.01559;4.066333;-0.04607549
33.04239;4.093126;-0.04445269
33.07155;4.12229;-0.04313537
33.09618;4.146926;-0.04171264
33.12463;4.175372;-0.04098967
33.15086;4.201601;-0.04015802
33.18136;4.2321;-0.04053722
33.20777;4.258509;-0.04063161
33.23792;4.288666;-0.04030035
33.26618;4.316921;-0.04062919
33.29323;4.343971;-0.04120145
33.30685;4.357598;-0.04138556
33.34098;4.391721;-0.04062325
33.36489;4.415637;-0.03939602
33.39301;4.44375;-0.03799669
33.4172;4.467947;-0.03651237
33.44344;4.494182;-0.03428135
33.47074;4.521489;-0.0337431
33.48847;4.539221;-0.03310162
33.53173;4.582483;-0.02971053
33.56239;4.613135;-0.03190993
33.59222;4.642973;-0.04022656
33.6193;4.670044;-0.04252049
33.6435;4.69425;-0.03922653
33.6724;4.723145;-0.03572807
33.69999;4.750741;-0.03172877
33.72693;4.777678;-0.02852617
33.75843;4.809177;-0.02949874
33.77802;4.82876;-0.02984643
33.81022;4.86097;-0.02766811
33.83864;4.889388;-0.02642514
33.86423;4.914974;-0.02432588
33.89456;4.945308;-0.02317067
33.91326;4.964004;-0.01923006
33.9526;5.003349;-0.0170892
33.98062;5.031364;-0.01555427
33.99907;5.049811;-0.01295192
34.02963;5.080377;-0.01145852
34.06084;5.111581;-0.01096858
34.08036;5.13111;-0.01026479
34.11631;5.167056;-0.01027872
34.14466;5.195412;-0.01118605
34.17185;5.222599;-0.01221274
34.20053;5.251273;-0.01740535
34.23001;5.28076;-0.0197906
34.2476;5.298347;-0.02763645
34.28189;5.332637;-0.03213345
34.30656;5.357312;-0.03375204
34.33027;5.381014;-0.03585106
34.36059;5.411342;-0.03549692
34.38413;5.434877;-0.03603974
34.40652;5.457271;-0.03352414
34.4372;5.487949;-0.02958572
34.46244;5.513194;-0.02835894
34.48534;5.53609;-0.02639332
34.51052;5.561268;-0.03514761
34.54359;5.594337;-0.03521878
34.56968;5.620428;-0.03673515
34.58889;5.639646;-0.03844504
34.62368;5.674435;-0.03445216
34.64348;5.694231;-0.02669045
34.67633;5.727081;-0.02374174
34.69245;5.743204;-0.01713502
34.72657;5.777326;-0.007667452
34.75321;5.803961;0.00386177
34.77545;5.826206;0.02005747
34.80585;5.856601;0.03135547
34.82882;5.879569;0.04128076
34.85086;5.901611;0.04351675
34.86968;5.920434;0.04648022
34.90248;5.953241;0.04635268
34.92754;5.978298;0.04647993
34.9464;5.997156;0.04373284
34.97002;6.020776;0.02817912
35.00578;6.056543;0.01861719
35.02976;6.080521;0.01241403
35.04821;6.098968;0.005721062
35.07385;6.124611;0.000303835
35.10005;6.150806;-0.001806214
35.11918;6.169941;-0.007134281
35.15083;6.201592;-0.009382732
35.18362;6.234384;-0.01055787
35.20814;6.258897;-0.01205618
35.23637;6.287132;-0.01404019
35.26092;6.311675;-0.01722145
35.29506;6.345819;-0.01816806
35.31566;6.366416;-0.01897887
35.33617;6.386926;-0.0216619
35.36965;6.42041;-0.02242538
35.39679;6.447548;-0.02375112
35.42633;6.477087;-0.0240484
35.44297;6.493726;-0.02464082
35.47096;6.521719;-0.02536251
35.50422;6.554976;-0.02585959
35.53329;6.584051;-0.02650948
35.5584;6.609154;-0.02749521
35.58306;6.633821;-0.02797693
35.61357;6.664326;-0.0287668
35.64095;6.691708;-0.03027168
35.66201;6.712772;-0.03191476
35.69038;6.74114;-0.03347189
35.71521;6.765964;-0.03449422
35.73919;6.789945;-0.0345372
35.75939;6.810148;-0.03522217
35.79401;6.844761;-0.03615217
35.82246;6.873219;-0.03662887
35.8474;6.898152;-0.03676613
35.87126;6.922014;-0.03652883
35.89882;6.949572;-0.03578989
35.9264;6.977153;-0.03543798
35.94762;6.998378;-0.03541254
35.97191;7.022671;-0.03543727
35.99216;7.04292;-0.03394759
36.02523;7.075992;-0.03348894
36.05214;7.102893;-0.03328395
36.078;7.128752;-0.0330607
36.10232;7.153075;-0.03298455
36.12345;7.174205;-0.03301114
36.15194;7.202702;-0.03271642
36.17678;7.227545;-0.03233992
36.21068;7.261436;-0.03215037
36.22373;7.274485;-0.03195986
36.25204;7.3028;-0.03196289
36.26875;7.319506;-0.03292325
36.306;7.356753;-0.03372884
36.32833;7.379084;-0.03411286
36.36324;7.414;-0.03417361
36.38314;7.433901;-0.03354108
36.40674;7.457499;-0.03296074
36.42884;7.4796;-0.03343976
36.45943;7.510188;-0.0340683
36.48325;7.534012;-0.03449157
36.50606;7.556818;-0.03509261
36.52961;7.580365;-0.03558035
36.56074;7.611495;-0.03559704
36.58319;7.633949;-0.03547497
36.60222;7.652977;-0.03569035
36.63623;7.686992;-0.03583477
36.65506;7.705819;-0.03675435
36.69053;7.741288;-0.0373092
36.72235;7.77311;-0.0378961
36.74405;7.794809;-0.0379294
36.75914;7.809903;-0.03850065
36.79017;7.840932;-0.03904596
36.81518;7.865942;-0.03915291
36.83912;7.889874;-0.03929885
36.85622;7.906977;-0.0395875
36.8928;7.943563;-0.03968525
36.90746;7.958222;-0.04041515
36.93744;7.988196;-0.0402094
36.96363;8.014384;-0.0396889
36.99479;8.045546;-0.03930116
37.01672;8.067478;-0.03928271
37.04257;8.093323;-0.04021952
37.07182;8.122575;-0.03965402
37.10045;8.151202;-0.03951295
37.12934;8.180092;-0.03969258
37.14847;8.199224;-0.04002731
37.17511;8.225863;-0.04005298
37.20148;8.252234;-0.04009809
37.22189;8.272644;-0.04022273
37.2501;8.300855;-0.04024234
37.27506;8.32582;-0.04066223
37.30711;8.357876;-0.04110795
37.33969;8.390457;-0.04147018
37.36167;8.412433;-0.04186042
37.38508;8.435843;-0.04197131
37.4119;8.46266;-0.04278217
37.43991;8.490671;-0.04300362
37.46473;8.515492;-0.04315341
37.49295;8.543707;-0.04328807
37.51719;8.567947;-0.0433353
37.53461;8.585369;-0.04404154
37.56644;8.617195;-0.04443124
37.59484;8.645597;-0.04471758
37.60958;8.660342;-0.04473545
37.64232;8.693079;-0.04462419
37.66713;8.717888;-0.04440574
37.69613;8.746881;-0.04444534
37.72383;8.774586;-0.04448545
37.74537;8.79612;-0.04462902
37.77156;8.822309;-0.04468761
37.79782;8.84857;-0.04404376
37.82566;8.87641;-0.04301934
37.85652;8.907274;-0.04207478
37.89362;8.944374;-0.04161009
37.91175;8.962504;-0.04083255
37.95008;9.000834;-0.04063173
37.97376;9.024513;-0.04053408
38.00232;9.053067;-0.04032736
38.02865;9.079403;-0.03975599
38.0517;9.102448;-0.03967404
38.07796;9.128712;-0.03872028
38.11312;9.163877;-0.03740133
38.14507;9.195822;-0.03676066
38.15972;9.210473;-0.03545557
38.19055;9.2413;-0.03505541
38.20789;9.258636;-0.03430779
38.24091;9.291656;-0.03272383
38.266;9.316743;-0.03231338
38.29484;9.34559;-0.0327625
38.32301;9.373755;-0.03416687
38.35868;9.409428;-0.0316608
38.38372;9.434474;-0.02222098
38.42657;9.477324;-0.01995246
38.44507;9.495819;-0.01390943
38.47838;9.529125;-0.00787501
38.50657;9.557311;-0.000737533
38.5399;9.590646;0.000812635
38.57199;9.622731;0.000493333
38.59319;9.643929;0.00104934
38.61309;9.663837;0.001869097
38.64513;9.695868;0.005789973
38.67257;9.72331;0.008325011
38.69941;9.750154;0.0101999
38.72007;9.770812;0.01034956
38.75487;9.805605;0.007443927
38.78247;9.833211;0.005616888
38.80707;9.857804;0.003761187
38.82935;9.880081;0.000609554
38.8587;9.90944;-0.002064697
38.8808;9.931539;-0.004495285
38.9043;9.955034;-0.005510405
38.9225;9.973237;-0.009360299
38.95647;10.0072;-0.01102448
38.98605;10.03678;-0.01385781
39.01483;10.06557;-0.01447
39.03237;10.08311;-0.01451471
39.05649;10.10723;-0.01457978
39.08579;10.13653;-0.01350838
39.10897;10.15971;-0.0142623
39.13937;10.19011;-0.01439824
39.16245;10.21319;-0.0139999
39.18169;10.23243;-0.01372788
39.216;10.26675;-0.01551145
39.23907;10.28982;-0.01695706
39.26427;10.31502;-0.01853736
39.30116;10.35191;-0.01894335
39.32001;10.37076;-0.02029653
39.34821;10.39895;-0.02098597
39.37224;10.42299;-0.02047735
39.40439;10.45514;-0.01852416
39.42755;10.4783;-0.01708259
39.44894;10.49969;-0.01828494
39.47285;10.5236;-0.01969732
39.49809;10.54884;-0.02041826
39.53092;10.58167;-0.01889099
39.5527;10.60345;-0.01748277
39.57026;10.62101;-0.0137021
39.60454;10.65529;-0.01218569
39.61819;10.66894;-0.008900352
39.6451;10.69586;-0.004281528
39.67351;10.72426;-0.000373833
39.69949;10.75024;0.002151407
39.71969;10.77045;0.003875069
39.73298;10.78374;0.004580259
39.77013;10.82088;0.009277016
39.79439;10.84514;0.01622652
39.81845;10.8692;0.02426529
39.84665;10.8974;0.03064247
39.87282;10.92357;0.03531437
39.89566;10.94642;0.04393728
39.91834;10.96909;0.0544231
39.94651;10.99727;0.06463623
39.9718;11.02256;0.07288706
40.00157;11.05232;0.07513138
40.0211;11.07185;0.07790249
40.0437;11.09445;0.07830848
40.06217;11.11293;0.08038064
40.0934;11.14415;0.07888772
40.11652;11.16728;0.07828501
40.14187;11.19263;0.07627533
40.1605;11.21125;0.07468224
40.18459;11.23535;0.07053942
40.21506;11.26581;0.06537328
40.23808;11.28883;0.05831663
40.27924;11.33;0.05603129
40.3038;11.35455;0.05613907
40.3271;11.37785;0.05823049
40.35297;11.40373;0.06047751
40.38066;11.43142;0.06209912
40.40464;11.45539;0.06362841
40.42763;11.47838;0.06501071
40.45424;11.505;0.0656919
40.47732;11.52807;0.06624664
40.50492;11.55567;0.06661499
40.52915;11.5799;0.06689146
40.55394;11.60469;0.0677234
40.58154;11.63229;0.06873826
40.60514;11.65589;0.07034139
40.6296;11.68035;0.07245776
40.6552;11.70596;0.07473353
40.68228;11.73304;0.07751071
40.72079;11.77155;0.07959325
40.74557;11.79632;0.08103343
40.7697;11.82045;0.08143194
40.79484;11.84559;0.08122806
40.8259;11.87665;0.0788256
40.85738;11.90813;0.07796079
40.88474;11.9355;0.07721567
40.90442;11.95518;0.07684519
40.93714;11.98789;0.07294144
40.97029;12.02105;0.0720502
40.98682;12.03758;0.07089573
41.01732;12.06807;0.07066931
41.02883;12.07959;0.07068053
41.05401;12.10476;0.07086442
41.08375;12.13451;0.07112572
41.11264;12.1634;0.07141373
41.13909;12.18984;0.07150979
41.15471;12.20547;0.07073294
41.19027;12.24102;0.07029697
41.20973;12.26048;0.06905599
41.24026;12.29101;0.0673065
41.26621;12.31696;0.06416952
41.29184;12.3426;0.0626155
41.30966;12.36042;0.05586176
41.34988;12.40063;0.04938514
41.38135;12.43211;0.04352303
41.40617;12.45693;0.03824618
41.42697;12.47773;0.03331582
41.45416;12.50491;0.02609921
41.48307;12.53383;0.01866443
41.50659;12.55735;0.00956323
41.53725;12.58801;0.002988592
41.55988;12.61064;-0.001947209
41.58392;12.63467;-0.01066965
41.61684;12.6676;-0.01751027
41.63717;12.68793;-0.02116662
41.66154;12.7123;-0.0242646
41.68773;12.73849;-0.02625807
41.71679;12.76755;-0.02755306
41.7403;12.79106;-0.02761921
41.76334;12.8141;-0.02653283
41.798;12.84876;-0.0245643
41.8224;12.87316;-0.02397281
41.84752;12.89828;-0.02456205
41.86712;12.91789;-0.02761385
41.89745;12.94822;-0.02924301
41.92607;12.97684;-0.03054812
41.94931;13.00007;-0.03171127
41.97461;13.02536;-0.03275556
41.99977;13.05053;-0.03303756
42.01917;13.06993;-0.03242293
42.05021;13.10097;-0.03118356
42.07458;13.12534;-0.03006709
42.10315;13.1539;-0.02993953
42.12106;13.17182;-0.03008018
42.14637;13.19713;-0.03059239
42.17524;13.226;-0.03220679
42.20639;13.25714;-0.0336294
42.23103;13.28178;-0.03709016
42.25901;13.30977;-0.03892999
42.27723;13.32799;-0.04580584
42.31169;13.36245;-0.04783303
42.33917;13.38993;-0.04806056
42.36136;13.41212;-0.04787678
42.39078;13.44154;-0.04842108
42.41521;13.46596;-0.04914289
42.44186;13.49262;-0.04957796
42.47025;13.521;-0.04885974
42.49425;13.545;-0.04854112
42.52125;13.572;-0.04783812
42.54833;13.59908;-0.04714898
42.57527;13.62601;-0.04732556
42.59895;13.64969;-0.04685479
42.62598;13.67672;-0.0459294
42.6502;13.70094;-0.04426636
42.67331;13.72405;-0.04248987
42.6971;13.74785;-0.03980287
42.7282;13.77894;-0.03881501
42.74422;13.79496;-0.03693947
42.77652;13.82726;-0.03663999
42.79932;13.85007;-0.03016344
42.82735;13.87809;-0.0164948
42.8517;13.90245;-0.01104776
42.86739;13.91813;-0.003544994
42.89135;13.94209;0.02715169
42.92697;13.97772;0.03892215
42.94988;14.00063;0.04505915
42.97236;14.02311;0.04684889
42.98972;14.04047;0.04873445
43.02516;14.07591;0.04808638
43.04782;14.09858;0.04208204
43.07248;14.12323;0.03703652
43.09595;14.14671;0.03654231
43.12083;14.17159;0.0386163
43.1437;14.19446;0.041424
43.17495;14.2257;0.04287556
43.19114;14.24189;0.04670502
43.22083;14.27158;0.05045673
43.24947;14.30022;0.05282845
43.27289;14.32365;0.05264311
43.29552;14.34628;0.05312198
43.31218;14.36294;0.05537514
43.34256;14.39332;0.05781654
43.37049;14.42125;0.05917707
43.39561;14.44636;0.06005286
43.41142;14.46217;0.06147472
43.44242;14.49317;0.06026193
43.46991;14.52067;0.05929878
43.48934;14.54009;0.05586156
43.51758;14.56833;0.05510086
43.53555;14.58631;0.05137035
43.56529;14.61604;0.05012085
43.59755;14.6483;0.04981366
43.61879;14.66954;0.04967377
43.63986;14.69062;0.04968771
43.66321;14.71397;0.04992477
43.69256;14.74332;0.05030722
43.71013;14.76089;0.05056968
43.73943;14.79018;0.05004126
43.76265;14.81341;0.04894649
43.7868;14.83756;0.04839185
43.80494;14.85569;0.0455067
43.83947;14.89022;0.04411096
43.85299;14.90374;0.04265767
43.87601;14.92677;0.03848845
43.90952;14.96027;0.03593813
43.93657;14.98732;0.03407666
43.95981;15.01056;0.0321328
43.98444;15.03519;0.03093469
44.00164;15.05239;0.02963999
44.03177;15.08252;0.02697491
44.06023;15.11098;0.02663949
44.08424;15.13499;0.02583537
44.11683;15.16758;0.02587063
44.13391;15.18466;0.02616624
44.16235;15.2131;0.02764565
