TotalTime;SegmentTime;XTran1;YTran1;ZTran1
19.45214;0.0223198;-0.04546263;0.7380521;0.2180845
19.47725;0.0474274;-0.04541687;0.7378858;0.2178809
19.4923;0.062482;-0.04531486;0.7377489;0.2177583
19.52019;0.0903647;-0.04520461;0.737905;0.2181375
19.54333;0.1135097;-0.04500116;0.7381458;0.2186118
19.5682;0.1383731;-0.04491664;0.7383709;0.2189764
19.58874;0.1589217;-0.04491938;0.7383844;0.2190064
19.61613;0.1863038;-0.04509007;0.7380413;0.2187766
19.63816;0.2083396;-0.04503744;0.7375489;0.2188681
19.66472;0.2348964;-0.04484023;0.7373758;0.219037
19.6836;0.2537823;-0.0446085;0.7373081;0.2191408
19.70511;0.275289;-0.04441973;0.7372762;0.2193649
19.73292;0.3030972;-0.04439295;0.7370496;0.2194801
19.75064;0.3208208;-0.04381611;0.7365929;0.2193439
19.77442;0.3445946;-0.04328296;0.7366909;0.2191154
19.80024;0.3704204;-0.04244015;0.736443;0.2189989
19.8201;0.3902785;-0.04120338;0.7364565;0.2188819
19.84214;0.4123239;-0.03970193;0.7361673;0.2189787
19.86355;0.4337285;-0.03892701;0.7358814;0.2190698
19.8915;0.4616761;-0.03820277;0.7354304;0.2188175
19.91411;0.4842938;-0.03782291;0.7350661;0.2182338
19.93544;0.5056233;-0.0372191;0.7341958;0.2179039
19.95958;0.5297546;-0.03700559;0.7338306;0.2178773
19.97325;0.5434315;-0.03635919;0.7334344;0.2179283
19.99606;0.5662368;-0.03593092;0.7331851;0.21784
20.01847;0.5886479;-0.03564074;0.7330292;0.2177838
20.04437;0.6145486;-0.03502072;0.7328623;0.2178318
20.06462;0.6348035;-0.03444892;0.7327683;0.2179087
20.09032;0.6605021;-0.03366855;0.7328553;0.2181063
20.11653;0.6867057;-0.03311373;0.7328413;0.2183824
20.13733;0.7075082;-0.03274169;0.7328939;0.2187131
20.16071;0.730886;-0.03237789;0.7329423;0.2188268
20.18517;0.755349;-0.03186654;0.732753;0.2185858
20.20665;0.7768262;-0.03102226;0.7323773;0.2182782
20.23213;0.8023109;-0.03044527;0.732244;0.2180562
20.25041;0.8205848;-0.02952362;0.7321233;0.2176414
20.27549;0.8456682;-0.02875942;0.7322992;0.2174926
20.2948;0.864976;-0.02812194;0.7327607;0.2173914
20.31959;0.8897717;-0.02747916;0.7329682;0.2171479
20.34032;0.9104948;-0.02692033;0.7330758;0.2169473
20.36255;0.9327299;-0.02661095;0.7328568;0.2169629
20.38483;0.9550068;-0.02642839;0.7325826;0.2166747
20.41314;0.983315;-0.02632794;0.7321417;0.2163846
20.42953;0.9997052;-0.02625017;0.7317262;0.2159314
20.45289;1.023063;-0.0262596;0.7312503;0.2154802
20.47755;1.047731;-0.02628513;0.7306866;0.2149086
20.49841;1.068591;-0.02630442;0.7300397;0.2142957
20.52512;1.095291;-0.02627657;0.7294544;0.2137903
20.54986;1.120037;-0.02619848;0.7286566;0.2132498
20.57306;1.143239;-0.02617958;0.728083;0.2126839
20.59246;1.162633;-0.0263034;0.7278981;0.2121265
20.61755;1.187728;-0.02616645;0.7274818;0.2116208
20.63831;1.208485;-0.02582006;0.7274183;0.2115022
20.66065;1.230826;-0.02578734;0.7271842;0.2114505
20.68754;1.257715;-0.02582016;0.7268589;0.2116097
20.7047;1.274874;-0.02581088;0.7266561;0.2114778
20.7304;1.300573;-0.02554508;0.7269714;0.2110755
20.75128;1.321453;-0.02556612;0.7270412;0.2105256
20.77495;1.345122;-0.02551179;0.7271223;0.2096959
20.79516;1.365337;-0.02542161;0.7269343;0.2090414
20.81934;1.389518;-0.02549304;0.7268221;0.2084059
20.84157;1.41174;-0.0255772;0.7266999;0.2077268
20.86882;1.438998;-0.02574705;0.7262982;0.2069839
20.89399;1.464163;-0.02560784;0.7258811;0.2064956
20.91431;1.484488;-0.02548781;0.7256852;0.2063022
20.93821;1.508379;-0.02559205;0.7254782;0.2062746
20.95997;1.530142;-0.0255337;0.7252032;0.2063626
20.98404;1.554208;-0.0257881;0.7247095;0.2062232
21.00453;1.574706;-0.0258844;0.7240584;0.205671
21.02548;1.595656;-0.02613546;0.7232884;0.2048985
21.0531;1.623276;-0.0261527;0.7228506;0.2038944
21.07111;1.641277;-0.02611849;0.7228864;0.2031031
21.09487;1.665044;-0.02644219;0.7225958;0.2026479
21.11818;1.688354;-0.02651217;0.7220695;0.2024413
21.13911;1.709279;-0.02683139;0.7217339;0.2021666
21.16443;1.734605;-0.02680852;0.7213587;0.2015153
21.18782;1.757993;-0.02715227;0.7211411;0.2008704
21.21106;1.781228;-0.02792931;0.7208842;0.2004598
21.23029;1.800459;-0.02818157;0.7207679;0.2002284
21.24647;1.816644;-0.02948063;0.7205752;0.1996191
21.28364;1.853807;-0.02980002;0.7203959;0.1990843
21.30286;1.873029;-0.03032871;0.7202876;0.1987062
21.32554;1.895713;-0.03123944;0.7199262;0.1985867
21.34983;1.920003;-0.03170665;0.7193667;0.1983343
21.36949;1.939661;-0.03258561;0.718948;0.1980389
21.39389;1.964059;-0.03307062;0.7186981;0.1977011
21.41499;1.985161;-0.03358682;0.7186213;0.1973985
21.43891;2.009084;-0.03409223;0.7183287;0.197174
21.46058;2.030754;-0.03438574;0.7183318;0.1967777
21.48498;2.055148;-0.03496146;0.7183442;0.1965427
21.50482;2.074995;-0.03541285;0.718276;0.1960796
21.5317;2.101868;-0.03595721;0.7180704;0.1957642
21.55256;2.122728;-0.03699678;0.7180769;0.1957763
21.57577;2.14594;-0.03774473;0.7180421;0.1956459
21.59512;2.165294;-0.03877383;0.7180033;0.1957534
21.62134;2.191511;-0.03996069;0.7180662;0.1958168
21.64057;2.210739;-0.04141172;0.7180635;0.1960026
21.66373;2.233902;-0.04266573;0.7183084;0.1962989
21.68702;2.257193;-0.04372546;0.7185307;0.1966215
21.70781;2.277986;-0.04480825;0.71894;0.1968852
21.73201;2.30218;-0.0458785;0.71956;0.1970102
21.75848;2.328655;-0.04720661;0.7197866;0.1971618
21.78194;2.352113;-0.04853315;0.7199652;0.1971226
21.80342;2.373589;-0.04980978;0.7200295;0.1968935
21.82503;2.395203;-0.05079001;0.7202806;0.1968245
21.84934;2.419513;-0.05150382;0.7204589;0.1968881
21.87081;2.440984;-0.0520578;0.7206277;0.1972389
21.89536;2.465529;-0.0527605;0.7206779;0.197486
21.91667;2.486839;-0.05355408;0.7208621;0.1976827
21.93947;2.509642;-0.05446621;0.7213278;0.1980835
21.96177;2.531939;-0.05544704;0.7217188;0.198605
21.98444;2.554615;-0.05671524;0.7225631;0.1992282
22.00719;2.577364;-0.05790182;0.7234727;0.1998681
22.02916;2.599332;-0.05924384;0.7241357;0.2004532
22.05247;2.622638;-0.06070353;0.724919;0.2008652
22.07584;2.646014;-0.0623012;0.725371;0.2014271
22.10128;2.671453;-0.06354311;0.7258493;0.202047
22.1251;2.695266;-0.06478567;0.7264414;0.2026571
22.14679;2.716963;-0.06600354;0.7273194;0.2035933
22.17362;2.74379;-0.06702647;0.7281931;0.2040881
22.19415;2.764322;-0.06781227;0.7288412;0.2042105
22.22027;2.790441;-0.06845814;0.729645;0.2051293
22.24209;2.812257;-0.06894137;0.7301587;0.205795
22.26279;2.832956;-0.06957221;0.7306323;0.2065471
22.28568;2.855846;-0.07017204;0.7315329;0.2072155
22.30691;2.877081;-0.07076985;0.7324094;0.2079044
22.32978;2.899948;-0.07150357;0.7330198;0.2086035
22.35355;2.92372;-0.07240087;0.7335616;0.209167
22.37614;2.946307;-0.07307224;0.7342588;0.2098
22.40229;2.972461;-0.07376456;0.7352568;0.2106297
22.42637;2.99654;-0.07441139;0.7359532;0.2109428
22.45019;3.020361;-0.07533368;0.7363685;0.2110321
22.47206;3.042232;-0.07611137;0.7368935;0.2112139
22.49553;3.065701;-0.07652614;0.7375443;0.2115245
22.52094;3.091106;-0.07704055;0.7381482;0.2119078
22.5484;3.118561;-0.07738279;0.7387999;0.2125077
22.57296;3.143126;-0.07793176;0.7391658;0.2128037
22.59753;3.167694;-0.07840508;0.7393929;0.2130644
22.61797;3.188136;-0.07882659;0.7393733;0.2133968
22.63903;3.209193;-0.07903606;0.7393548;0.2137887
22.66454;3.234709;-0.07921757;0.7395299;0.2142242
22.68511;3.255278;-0.07954046;0.7396079;0.214531
22.71049;3.280654;-0.07994278;0.7396874;0.2149146
22.73719;3.307354;-0.08016204;0.7398078;0.2151202
22.76386;3.334025;-0.08038668;0.7399015;0.2152772
22.78498;3.355143;-0.08057906;0.7402145;0.2155019
22.80569;3.375861;-0.08064532;0.7408447;0.2156191
22.83227;3.402433;-0.08077482;0.7413836;0.216065
22.85187;3.422037;-0.0810625;0.7417719;0.2169326
22.8848;3.454967;-0.08136699;0.742161;0.217483
22.90343;3.473598;-0.08179516;0.7421842;0.2180373
22.93148;3.501644;-0.08211344;0.7422394;0.2188187
22.95064;3.520806;-0.08252128;0.7421391;0.2195073
22.97942;3.549585;-0.0829597;0.7419384;0.2199837
22.99781;3.567974;-0.08342656;0.7419352;0.2202089
23.02476;3.594927;-0.08381878;0.7421237;0.2203333
23.05377;3.623937;-0.08379845;0.7420406;0.2204943
23.07138;3.641547;-0.0834538;0.7414892;0.2207766
23.09511;3.665279;-0.08319803;0.7411203;0.2214472
23.11955;3.689716;-0.08318784;0.7410221;0.2218622
23.14762;3.71779;-0.08327363;0.7406132;0.2220811
23.17098;3.741147;-0.08357958;0.7401863;0.222273
23.19384;3.764003;-0.08367777;0.7400228;0.2223698
23.21241;3.78258;-0.08372153;0.7392279;0.2225086
23.24323;3.813397;-0.08357825;0.7392005;0.2225177
23.26416;3.834327;-0.08314297;0.7392694;0.2226028
23.29427;3.864438;-0.08255667;0.7389822;0.2226857
23.31949;3.88966;-0.08186206;0.7384444;0.2227054
23.33985;3.910013;-0.08099753;0.7379916;0.2226583
23.36179;3.931961;-0.07979087;0.7374446;0.2228502
23.38583;3.955997;-0.07851492;0.7370046;0.2232103
23.4118;3.981968;-0.0771002;0.7367633;0.2236695
23.43811;4.008279;-0.07555459;0.7368743;0.2239824
23.46092;4.031085;-0.07421349;0.7368304;0.224081
23.48647;4.056636;-0.07290013;0.7365152;0.2241842
23.50977;4.079933;-0.07143534;0.7360481;0.2242276
23.53106;4.101224;-0.06972502;0.7356216;0.2243766
23.55249;4.122659;-0.06750066;0.7352505;0.2246547
23.58192;4.152089;-0.06535124;0.7347471;0.2251779
23.60692;4.177085;-0.06338109;0.7341364;0.2256516
23.62989;4.20006;-0.0607146;0.7338116;0.2261536
23.65632;4.226489;-0.05821532;0.7335216;0.2265723
23.6781;4.24827;-0.05589918;0.7331151;0.2267952
23.69767;4.267834;-0.05355795;0.7327607;0.2270872
23.72034;4.290503;-0.05121823;0.7325943;0.2274516
23.74375;4.313919;-0.0480922;0.7321436;0.2278244
23.77222;4.342388;-0.04520805;0.7316474;0.2280076
23.79362;4.363781;-0.04217105;0.7309794;0.2282361
23.81914;4.389301;-0.03881289;0.7303156;0.2289105
23.8395;4.409666;-0.03557129;0.7297629;0.2297447
23.86619;4.436351;-0.03249841;0.7292407;0.230332
23.88587;4.456032;-0.02951532;0.7288065;0.2308234
23.90836;4.478519;-0.02648925;0.7285923;0.2311853
23.93078;4.500942;-0.02283848;0.7281251;0.2314754
23.95769;4.52785;-0.01898073;0.7276479;0.2317366
23.98261;4.552779;-0.01526599;0.726981;0.2319053
24.00523;4.575395;-0.01192218;0.726227;0.2320921
24.02983;4.599992;-0.008545075;0.7255924;0.2324731
24.04921;4.619372;-0.005306754;0.7251952;0.2328493
24.07191;4.642076;-0.001698885;0.7247181;0.2330202
24.09933;4.669495;0.001879353;0.7241989;0.2331949
24.1192;4.689366;0.005516987;0.7237695;0.2332282
24.13995;4.710109;0.009032;0.7233357;0.2330897
24.16563;4.735791;0.01273143;0.7230474;0.2329318
24.18576;4.755926;0.016219;0.7225658;0.2329663
