TotalTime;SegmentTime;XTran1;YTran1;ZTran1
7.626844;0.0726023;0.03101217;0.752436;0.2305404
7.640965;0.0867228;0.03056935;0.7524952;0.2301569
7.67122;0.1169779;0.03010537;0.7526342;0.230306
7.689404;0.135162;0.03003935;0.7528248;0.2307423
7.716114;0.1618721;0.03024052;0.753059;0.231218
7.737179;0.1829372;0.0303685;0.7531759;0.2312019
7.756772;0.2025302;0.03018926;0.7531887;0.2307236
7.780269;0.2260269;0.03002848;0.7528933;0.2302986
7.802122;0.2478799;0.02996518;0.7525829;0.2302653
7.827197;0.2729548;0.02985502;0.7527549;0.2304568
7.845181;0.2909391;0.02974726;0.7530241;0.2308724
7.868021;0.3137796;0.02986539;0.7533345;0.2312556
7.894753;0.3405114;0.03020877;0.7535753;0.2313136
7.914206;0.3599636;0.03051452;0.7535602;0.2309556
7.93495;0.3807078;0.03065636;0.7534244;0.2305788
7.960192;0.4059502;0.03077731;0.7532489;0.2300762
7.982057;0.427815;0.03068005;0.7529014;0.2299204
8.002012;0.4477701;0.03058901;0.7525787;0.2299582
8.019415;0.4651726;0.03026164;0.7521719;0.230373
8.046596;0.4923528;0.03025709;0.7519817;0.2306497
8.070277;0.5160344;0.03029422;0.7519075;0.230947
8.09169;0.5374472;0.03032145;0.7519525;0.2310199
8.114273;0.5600305;0.03035473;0.7521665;0.2309523
8.137502;0.5832596;0.03040778;0.7522978;0.2307815
8.159635;0.6053929;0.03037307;0.7524394;0.2307123
8.181492;0.6272505;0.03032819;0.7525016;0.2306512
8.204641;0.6504004;0.03032658;0.7524664;0.2304611
8.22716;0.6729197;0.03027779;0.7522978;0.2302498
8.250456;0.6962151;0.03019605;0.7521346;0.2301413
8.271292;0.7170506;0.03004766;0.7519072;0.2303724
8.299168;0.7449268;0.03008151;0.7517824;0.2306781
8.318529;0.7642883;0.03009348;0.7518829;0.2309881
8.337637;0.7833962;0.0300467;0.7520731;0.231187
8.360309;0.8060682;0.03002487;0.7522422;0.2314225
8.384392;0.8301511;0.03023231;0.7523965;0.2316112
8.414834;0.8605934;0.03044662;0.7524731;0.2315245
8.436799;0.8825585;0.03056118;0.752557;0.2313206
