TotalTime;SegmentTime;XTran1
8.186854;0.029553;-0.1687339
8.206809;0.0495078;-0.1684125
8.240024;0.0827228;-0.1683632
8.257833;0.1005319;-0.1683279
8.279154;0.1218536;-0.168201
8.306156;0.1488561;-0.1678692
8.327971;0.1706703;-0.1676967
8.355032;0.1977314;-0.1684594
8.382781;0.2254807;-0.1718721
8.401521;0.2442204;-0.1793867
8.42764;0.2703393;-0.1841239
8.450686;0.2933854;-0.1879211
8.478059;0.3207573;-0.1906428
8.502912;0.3456096;-0.193008
8.528258;0.3709563;-0.1944755
8.55013;0.3928277;-0.195366
8.577259;0.4199569;-0.1957254
8.602365;0.4450633;-0.1963041
8.635035;0.4777323;-0.1965129
8.653943;0.4966406;-0.1967801
8.676596;0.5192936;-0.1971483
8.699997;0.5426944;-0.1971238
8.720224;0.5629221;-0.1971985
8.749063;0.5917608;-0.1973957
8.776067;0.618764;-0.1976023
8.798896;0.6415935;-0.1979887
8.825171;0.6678683;-0.1984299
8.847075;0.6897736;-0.1986434
8.877894;0.7205929;-0.19862
8.909892;0.7525902;-0.1985938
8.930386;0.7730836;-0.1985022
8.949838;0.7925355;-0.1982414
8.975231;0.8179289;-0.1981141
8.998969;0.8416668;-0.1978738
9.022599;0.8652967;-0.1974368
9.045633;0.888331;-0.1970816
9.061112;0.9038103;-0.1964245
9.094479;0.9371763;-0.1963142
9.122325;0.9650226;-0.196313
9.145716;0.9884133;-0.1963592
9.171312;1.01401;-0.1964596
9.19104;1.033738;-0.1963978
9.22047;1.063168;-0.1962526
9.244411;1.087108;-0.1961882
9.268247;1.110945;-0.1961541
9.2848;1.127498;-0.1959556
9.317669;1.160367;-0.1958523
9.340064;1.182761;-0.1958519
9.367208;1.209905;-0.195854
9.389628;1.232326;-0.1960691
9.414557;1.257255;-0.1963942
9.438045;1.280742;-0.1964534
9.462306;1.305004;-0.1963611
9.488105;1.330802;-0.1962163
9.512836;1.355534;-0.196124
9.536281;1.378979;-0.1960679
9.560115;1.402812;-0.196216
9.588422;1.431119;-0.1962461
9.603269;1.445966;-0.1962222
9.642531;1.485229;-0.1962257
9.66002;1.502718;-0.1961698
9.686705;1.529403;-0.1961844
9.710473;1.553172;-0.196182
9.73512;1.577819;-0.196086
9.765273;1.607972;-0.1962767
9.783699;1.626399;-0.1965493
9.808415;1.651115;-0.1968009
9.835304;1.678004;-0.1968522
9.855936;1.698635;-0.1967088
9.888805;1.731504;-0.1967698
9.906251;1.74895;-0.1968445
9.931864;1.774563;-0.1971725
9.956769;1.799468;-0.1974353
9.979198;1.821897;-0.1968715
10.00484;1.847544;-0.1961267
10.02865;1.871346;-0.1956177
10.0545;1.897196;-0.1952602
10.07874;1.921435;-0.195106
10.10733;1.950025;-0.1951522
10.12735;1.970047;-0.1951586
10.15159;1.994285;-0.1954898
10.17571;2.018412;-0.1957272
10.20102;2.043717;-0.1960752
10.22362;2.066322;-0.1963972
10.24652;2.089216;-0.1964506
10.27253;2.115232;-0.1963366
10.29928;2.141978;-0.196197
10.32164;2.164343;-0.1962595
10.34538;2.188082;-0.1964806
10.36785;2.21055;-0.1964949
10.39298;2.235678;-0.196546
10.42116;2.26386;-0.1964316
10.44458;2.287275;-0.1962831
10.4669;2.309598;-0.196213
10.48304;2.325736;-0.1961811
10.51816;2.360862;-0.196334
10.54368;2.386384;-0.1964947
10.56667;2.409369;-0.1966339
10.58902;2.431722;-0.1968488
10.61157;2.454269;-0.1969472
10.63832;2.481019;-0.1968803
10.66176;2.50446;-0.1967454
10.68927;2.531974;-0.1965994
10.71018;2.552883;-0.1965512
10.73378;2.576483;-0.1965364
10.75591;2.598606;-0.1966194
10.78762;2.630316;-0.1967316
10.811;2.653696;-0.1968004
10.83278;2.675479;-0.1968162
10.85723;2.699932;-0.1967809
10.8792;2.721904;-0.1968475
10.90376;2.746456;-0.1970004
10.92887;2.771567;-0.1971787
10.95465;2.797343;-0.1971633
10.9821;2.824796;-0.1969911
11.00128;2.843977;-0.196657
11.02619;2.868892;-0.1964446
11.04262;2.885318;-0.1962212
11.07895;2.921649;-0.1966529
11.10038;2.943079;-0.1969347
11.12311;2.965808;-0.1972634
11.14608;2.988781;-0.1974055
11.17198;3.014681;-0.197149
11.19827;3.040969;-0.196936
11.21358;3.056282;-0.1964529
11.24439;3.087089;-0.1964293
11.26904;0.0246455;-0.1965905
11.29657;0.0521789;-0.1968807
11.31987;0.07547911;-0.1970849
11.34348;0.099086;-0.1971435
11.3671;0.1227056;-0.1971954
11.38922;0.144824;-0.1970187
11.41466;0.1702639;-0.1969749
11.43904;0.1946523;-0.1969909
11.46224;0.2178521;-0.1970355
11.49206;0.2476704;-0.1970827
11.51024;0.265847;-0.197183
11.53415;0.2897596;-0.197201
11.55821;0.3138156;-0.1970134
11.58193;0.3375374;-0.1967843
11.60827;0.3638753;-0.1965882
11.63284;0.3884511;-0.1964572
11.65544;0.4110433;-0.1967986
11.68647;0.4420788;-0.1972793
11.70324;0.4588476;-0.1978159
11.72603;0.4816336;-0.1983093
11.7495;0.505105;-0.1981881
11.77829;0.5338964;-0.1976939
11.80495;0.5605549;-0.1974025
11.8234;0.5790071;-0.1974896
11.84832;0.6039281;-0.1973676
11.885;0.6406077;-0.1974317
11.90253;0.6581393;-0.1974474
11.92257;0.6781738;-0.1974364
11.94565;0.7012559;-0.1973389
11.96765;0.723253;-0.1971332
11.99717;0.752781;-0.196982
12.01386;0.7694656;-0.1965205
12.04231;0.7979194;-0.1963708
12.0679;0.8235031;-0.1964415
12.08998;0.8455837;-0.1965647
12.11206;0.8676722;-0.1967714
12.13998;0.8955914;-0.1968862
12.16184;0.9174467;-0.1969749
12.18614;0.9417464;-0.1970482
12.20922;0.9648331;-0.1970839
12.22659;0.982194;-0.1969417
12.25663;1.012239;-0.1968147
12.27832;1.033929;-0.1967964
12.29756;1.053167;-0.1968691
12.32831;1.083922;-0.1969137
12.36321;1.118821;-0.1969263
12.37954;1.135145;-0.1968918
12.39965;1.155263;-0.1966986
12.42181;1.177418;-0.1964581
12.44701;1.202624;-0.1963558
12.47119;1.226799;-0.1964965
12.50276;1.258373;-0.1967669
12.52185;1.277455;-0.1969429
12.54474;1.300346;-0.1970024
12.56978;1.325391;-0.1969901
12.59521;1.350819;-0.1967322
12.61014;1.365748;-0.1960311
12.6439;1.399514;-0.1957046
12.66551;1.421123;-0.1955328
12.68881;1.444416;-0.195277
12.71787;1.473477;-0.1951221
12.73455;1.490159;-0.195217
12.75981;1.515416;-0.1954467
12.78618;1.541789;-0.1953207
12.80611;1.561721;-0.1951827
12.82558;1.581186;-0.194795
12.85531;1.610914;-0.1946793
12.87768;1.633284;-0.1945951
12.90075;1.656358;-0.194485
12.92426;1.679864;-0.194409
12.95094;1.706553;-0.1943567
12.972;1.727605;-0.1945234
12.99788;1.753488;-0.1945451
13.02138;1.776986;-0.1946022
13.04263;1.798234;-0.1946482
13.06672;1.822333;-0.1943891
13.09032;1.845925;-0.1939125
13.11477;1.870375;-0.1934292
13.13875;1.894364;-0.1932123
13.16215;1.917763;-0.1933426
13.18678;1.942386;-0.1936438
13.21044;1.966047;-0.1938381
13.23291;1.988518;-0.1938212
13.25505;2.010661;-0.1934952
13.28235;2.037954;-0.1929891
13.30529;2.060901;-0.1925085
13.33236;2.087971;-0.1924946
13.35283;2.108442;-0.1927298
13.37688;2.132493;-0.1928981
13.40085;2.156459;-0.1930013
13.42644;2.182051;-0.1930878
13.44952;2.205131;-0.1932058
13.47414;2.229745;-0.1930458
13.49777;2.253381;-0.1928995
13.5156;2.271205;-0.192316
13.54399;2.299595;-0.1920312
13.5672;2.322804;-0.191909
13.59028;2.345886;-0.1918867
13.61207;2.36768;-0.1920102
13.64001;2.395622;-0.1922189
13.66258;2.41819;-0.1924842
13.68358;2.439185;-0.1925287
13.70939;2.465002;-0.1923186
13.73146;2.487069;-0.1922045
13.75804;2.513647;-0.192205
13.77352;2.529124;-0.1922505
13.80153;2.557136;-0.1922196
13.82626;2.581871;-0.1921314
13.84899;2.604593;-0.19204
13.87092;2.626526;-0.1919458
13.8909;2.646503;-0.1916182
13.92051;2.676117;-0.1916049
13.94368;2.699286;-0.1916727
13.97245;2.728059;-0.1917902
13.98888;2.744492;-0.1919133
14.0168;2.772412;-0.1921148
14.03995;2.795558;-0.1923483
14.06846;2.824063;-0.1924451
14.08951;2.845114;-0.1923906
14.11053;2.866135;-0.1922335
14.13689;2.8925;-0.1919738
14.15576;2.911373;-0.1918276
14.17604;2.931645;-0.1913705
14.21431;2.969923;-0.1913551
14.22994;2.985548;-0.191332
14.2559;3.011504;-0.19137
14.28591;3.041516;-0.1914667
14.30259;3.0582;-0.1915663
14.32473;3.080338;-0.1914927
14.35017;3.10578;-0.1912642
14.37318;3.128791;-0.1909872
14.39721;3.152816;-0.1908553
14.41332;3.168929;-0.1907282
14.4368;3.192404;-0.1906103
14.46081;3.216415;-0.1905945
14.48339;3.238998;-0.1907342
14.51584;3.271453;-0.1909828
14.53911;3.294717;-0.1911696
14.57291;3.328516;-0.1912549
14.58857;3.344181;-0.1911395
14.60845;3.364055;-0.1910938
14.62757;3.383184;-0.1911225
14.65564;3.411249;-0.1912578
14.68106;3.436668;-0.191291
14.70532;3.46093;-0.1915674
14.7262;3.481811;-0.1915376
14.75003;3.505643;-0.1915988
14.7721;3.527711;-0.1917301
14.80169;3.557304;-0.1916809
14.82124;3.576852;-0.1912662
14.84479;3.6004;-0.1910718
14.86841;3.62402;-0.1909787
14.88972;3.645327;-0.1911384
14.92059;3.676197;-0.1913161
14.93807;3.693677;-0.1913871
14.96257;3.718185;-0.191449
14.9848;3.74041;-0.1914896
15.00881;3.764418;-0.191504
15.03279;3.788403;-0.1916754
15.05551;3.811116;-0.1917543
15.07206;3.827666;-0.1915498
15.10293;3.858543;-0.1908253
15.12535;3.880963;-0.1901697
15.14929;3.904898;-0.1896657
15.17657;3.932179;-0.189403
15.1997;3.955306;-0.1894469
15.22154;3.977145;-0.1895274
15.24478;4.000387;-0.1894893
15.2703;4.025906;-0.1892333
15.29006;4.045669;-0.1887211
15.32113;4.076736;-0.1882619
15.33805;4.093657;-0.1879054
15.36138;4.116986;-0.1874674
15.38891;4.144522;-0.1871424
15.41169;4.167295;-0.1868785
15.43446;4.190064;-0.186737
15.45655;4.21216;-0.1866429
15.48119;4.236803;-0.1864814
15.50917;4.264779;-0.1863463
15.53065;4.286256;-0.1863021
15.56096;4.316566;-0.1862812
15.57807;4.333675;-0.1863855
15.60005;4.355658;-0.186473
15.62191;4.377521;-0.1864678
15.64694;4.402549;-0.186431
15.6703;4.42591;-0.1861765
15.69223;4.447839;-0.1860034
15.70894;4.464544;-0.1858589
