TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;cXTran;cYTran;cZran
53.56215;53.56215;0.04574492;0.7674719;0.311639;-0.0367654;0.7855477;0.4508148;-0.08251032;0.0180758;0.1391758
53.59522;53.59522;0.04594384;0.7673557;0.3105727;-0.03659168;0.785526;0.4497113;-0.08253552;0.0181703;0.1391386
53.63235;53.63235;0.04537194;0.7674394;0.3109692;-0.03715796;0.7859079;0.4500465;-0.0825299;0.0184685;0.1390773
53.66053;53.66053;0.04414853;0.7679061;0.3115774;-0.03839375;0.7863756;0.4506363;-0.08254228;0.0184695;0.1390589
53.69244;53.69244;0.04358947;0.7684311;0.3124447;-0.03893525;0.7868696;0.4515131;-0.08252472;0.0184385;0.1390684
53.72147;53.72147;0.04225036;0.7693389;0.3151215;-0.04027478;0.7877756;0.4541917;-0.08252514;0.0184367;0.1390702
53.76089;53.76089;0.04272059;0.7694588;0.3142712;-0.03981106;0.7878968;0.4533381;-0.08253165;0.018438;0.1390669
53.78767;53.78767;0.04449589;0.7690496;0.3130485;-0.03803568;0.7874729;0.4521191;-0.08253157;0.0184233;0.1390706
53.82963;53.82963;0.04556513;0.7682976;0.3119172;-0.03696453;0.7867188;0.4509885;-0.08252966;0.0184212;0.1390713
53.85913;53.85913;0.04601015;0.7677626;0.3113176;-0.03651374;0.7861885;0.4503897;-0.08252389;0.0184259;0.1390721
53.89108;53.89108;0.04603521;0.7676871;0.3110611;-0.03648704;0.7861105;0.4501346;-0.08252225;0.0184234;0.1390735
53.92654;53.92654;0.04608533;0.7682484;0.3118706;-0.03643158;0.7866746;0.450946;-0.08251691;0.0184262;0.1390754
53.96006;53.96006;0.04631648;0.7688792;0.312196;-0.03619843;0.7873037;0.4512733;-0.08251491;0.0184245;0.1390773
53.99512;53.99512;0.04654787;0.769081;0.3117604;-0.03597113;0.7874392;0.4508446;-0.082519;0.0183582;0.1390842
54.02582;54.02582;0.0467575;0.7690668;0.3118368;-0.03577109;0.7873948;0.4509174;-0.08252859;0.018328;0.1390806
54.06075;54.06075;0.04632941;0.7686093;0.3118297;-0.0361912;0.7869602;0.4509091;-0.08252061;0.0183509;0.1390794
54.09452;54.09452;0.04672092;0.7679853;0.3108866;-0.03579115;0.7863047;0.4499774;-0.08251207;0.0183194;0.1390908
