TotalTime;SegmentTime;XTran1;YTran1;ZTran1
14.32902;0.4300545;0.07658587;0.6981437;0.7947398
14.3545;0.455529;0.07722526;0.6957435;0.7947421
14.38391;0.4849378;0.07753411;0.6935854;0.7953103
14.4096;0.5106343;0.07710887;0.691752;0.7955524
14.43663;0.5376646;0.07633271;0.6915846;0.7960582
14.46895;0.5699773;0.07589395;0.6905136;0.7957855
14.4916;0.5926367;0.07512078;0.6895433;0.7946988
14.51979;0.6208207;0.0751991;0.6886405;0.7935973
14.55777;0.6588011;0.07510102;0.6880055;0.7927715
14.57572;0.6767562;0.0744321;0.6878206;0.7924212
14.59803;0.6990642;0.07481778;0.6858717;0.7914728
14.63663;0.7376645;0.07538518;0.6838063;0.7903584
14.66094;0.7619764;0.07573075;0.6821191;0.7900413
14.68671;0.7877411;0.07622063;0.680986;0.7899815
14.70893;0.809964;0.07685217;0.6762649;0.7905371
14.74411;0.8451472;0.07767291;0.6771847;0.7921442
14.77362;0.8746545;0.07904297;0.6784464;0.7929974
14.80202;0.9030538;0.08103471;0.6791297;0.7929841
14.82554;0.9265705;0.08110313;0.6781276;0.7933882
14.85487;0.9559008;0.0799514;0.6762491;0.7932014
14.8815;0.9825335;0.07941076;0.6736062;0.7920448
14.90896;1.009992;0.0784104;0.6721448;0.7924567
14.93593;1.036961;0.07615215;0.6725619;0.7933597
14.96898;1.070014;0.07395368;0.6724185;0.7941124
14.98856;1.08959;0.0732276;0.6724775;0.7946937
15.01511;1.116144;0.0725567;0.6719924;0.7954034
15.04529;1.14632;0.072568;0.6708951;0.7960284
15.07142;1.172451;0.07355654;0.6699535;0.7967278
15.10004;1.201073;0.0750957;0.6695706;0.7976267
15.1355;1.23653;0.07639177;0.6686645;0.7982649
15.15431;1.255345;0.0778818;0.6671867;0.798694
15.18087;1.281906;0.07912029;0.6660627;0.7991726
15.2098;1.310837;0.08015749;0.6655195;0.7997737
15.23629;1.33732;0.08109358;0.6648873;0.80004
15.26388;1.364911;0.08236211;0.6636602;0.7998143
15.29459;1.395622;0.08394368;0.6624421;0.7995899
15.31455;1.415582;0.08470174;0.6617566;0.7999784
15.34135;1.442383;0.08545229;0.6613245;0.800584
15.3675;1.468531;0.08565053;0.6614243;0.8012093
15.39574;1.496771;0.08543913;0.6608534;0.8011284
15.42242;1.523452;0.08560375;0.6599672;0.8005397
15.45819;1.559224;0.08634685;0.6596164;0.8003359
15.47455;1.575584;0.08749593;0.6590328;0.8005625
15.49901;1.600049;0.08821545;0.6589191;0.8009148
15.5227;1.623729;0.09034293;0.6594711;0.8015069
15.55259;1.653622;0.09159604;0.6598343;0.8020313
15.57942;1.680458;0.092325;0.6594015;0.8025987
15.6089;1.709939;0.09308654;0.6604515;0.8029715
15.62862;1.729654;0.09352213;0.6609254;0.8030775
15.6517;1.75273;0.09380767;0.660947;0.8034302
15.67639;1.777427;0.09352123;0.6607351;0.8038116
15.70335;1.804381;0.09361187;0.660252;0.8034438
15.7295;1.830531;0.09392131;0.6599375;0.802968
15.75794;1.858979;0.09476283;0.6592271;0.802323
15.7799;1.880932;0.09480974;0.6588008;0.8022318
15.80622;1.907256;0.09416916;0.6583203;0.802487
15.83074;1.931772;0.09329391;0.6583381;0.8029824
15.85536;1.95639;0.09166754;0.6581975;0.8033515
15.88502;1.986054;0.0911312;0.6581215;0.8034313
15.91494;2.015972;0.09114663;0.6576378;0.8030791
15.93414;2.035174;0.09137692;0.6566973;0.8022614
15.9615;2.062534;0.09152796;0.6563572;0.8019506
15.98598;2.087017;0.09132031;0.6565813;0.8020619
16.01017;2.111203;0.09228031;0.6572847;0.8022723
16.03855;2.139584;0.09362836;0.6577752;0.801836
16.06858;2.169614;0.09394361;0.6578189;0.8016058
16.08722;2.188251;0.09405593;0.6574785;0.8017319
16.11073;2.211771;0.09396505;0.6574713;0.8030975
16.13945;2.240486;0.09333223;0.6577001;0.8039717
16.16449;2.265525;0.09183522;0.6578429;0.8036769
16.19224;2.293272;0.09113143;0.6585643;0.8037372
16.224;2.325035;0.09091087;0.6590466;0.8033645
16.24392;2.344958;0.08977453;0.6591775;0.8027262
16.26915;2.370187;0.08917476;0.6590751;0.8025693
16.29548;2.396511;0.08830954;0.6590207;0.8031783
16.32023;2.421266;0.08786145;0.6590791;0.8034396
16.33714;2.438175;0.08647274;0.6609523;0.803781
16.37348;2.474514;0.08600946;0.6636355;0.8043135
16.40423;2.505265;0.08514401;0.6665701;0.8045937
16.43073;2.531765;0.08420885;0.6683877;0.8043534
16.45284;2.553871;0.08355767;0.6691021;0.803766
16.47727;2.578303;0.08258802;0.6693356;0.803426
16.49519;2.596221;0.07975128;0.6698074;0.802487
16.53215;2.633183;0.07977533;0.6705716;0.8022199
16.56159;2.662628;0.07870801;0.6710829;0.8020225
16.58749;2.688528;0.07784111;0.671597;0.8018068
16.60333;2.704365;0.07652552;0.6729274;0.802207
16.63854;2.739577;0.07447076;0.6744894;0.8018621
16.6634;2.764434;0.07340791;0.6747878;0.8013022
16.68756;2.788592;0.07172378;0.6731522;0.8005475
16.72297;2.824002;0.07083187;0.6729602;0.799559
16.74251;2.843545;0.07003273;0.6723552;0.7987384
16.75919;2.860226;0.06823621;0.6729717;0.7970173
16.79598;2.897017;0.06804224;0.6730871;0.7967137
16.82386;2.924893;0.06821685;0.6735364;0.7966225
16.85203;2.953062;0.06848527;0.6745336;0.7964354
16.88243;2.983466;0.06848;0.6759858;0.7967577
16.90759;3.008626;0.06878232;0.6771346;0.7970518
16.93204;3.033074;0.06862056;0.6785353;0.7971903
16.96307;3.064105;0.06815384;0.6787156;0.7971182
16.98794;3.088975;0.06797464;0.6785492;0.7969592
17.01033;3.111365;0.06739402;0.6786644;0.7967079
17.04094;3.141973;0.06643009;0.6781648;0.7955869
17.07441;3.175442;0.0667394;0.678353;0.7955963
17.09975;3.200788;0.06660882;0.6779655;0.79533
17.13189;3.232928;0.06636135;0.6778508;0.7947423
17.15889;3.259924;0.06649671;0.6780732;0.794414
17.18629;3.28733;0.06708176;0.6787277;0.7944943
17.22236;3.323399;0.06708822;0.6790328;0.7947893
17.24384;3.344873;0.0670326;0.6789261;0.7951057
17.27483;3.375868;0.06663731;0.678116;0.795346
17.30285;3.403885;0.06643392;0.6772268;0.7954828
17.33097;3.432003;0.06601025;0.6763221;0.7949359
17.36062;3.461656;0.06618142;0.6752266;0.7945616
17.39178;3.492822;0.06624827;0.6748519;0.7944735
17.41753;3.518569;0.06640749;0.6748275;0.794183
17.44389;3.544929;0.0663314;0.6745221;0.7938627
17.47652;3.577558;0.06620874;0.6749204;0.7937491
17.49825;3.59929;0.0649346;0.6754496;0.7928167
17.53303;3.634071;0.06503068;0.6773813;0.7929364
17.56873;3.669766;0.06440705;0.6790886;0.7931144
17.59195;3.692992;0.06333028;0.6796159;0.7933319
17.6207;3.721737;0.06299259;0.6794924;0.7931398
17.64493;3.745963;0.06191921;0.6792964;0.7928368
17.67704;3.778078;0.06116933;0.6786474;0.7925763
17.70797;3.809002;0.06051023;0.6781268;0.792107
17.73742;3.838456;0.05998491;0.6777943;0.7916353
17.76369;3.864731;0.06031999;0.6777685;0.7915342
17.79152;3.892558;0.06106764;0.6773913;0.7914158
17.82158;3.922613;0.0615178;0.6773009;0.7910714
17.8513;3.952334;0.06133418;0.6775097;0.7907508
17.8778;3.978837;0.06026384;0.6776796;0.7903715
17.91661;4.017651;0.06019294;0.678022;0.7907472
17.93605;4.03709;0.06008658;0.6779118;0.7906996
17.9641;4.065137;0.06000699;0.6775926;0.7901515
17.99624;4.097282;0.06014691;0.6770723;0.7893918
18.02159;4.122628;0.06067096;0.6764959;0.7889513
18.05268;4.153721;0.06116199;0.6762074;0.7892258
18.08208;4.183115;0.06094763;0.6753084;0.7891073
18.10888;4.209912;0.0604412;0.6752309;0.7888765
18.13304;4.234072;0.06093249;0.674633;0.7889113
18.16534;4.266381;0.06134431;0.6738988;0.7890531
18.19565;4.29669;0.0615284;0.673689;0.7890867
18.21281;4.31385;0.06155808;0.6729262;0.7891353
18.25049;4.351524;0.06283097;0.6721338;0.7894003
18.27897;4.38001;0.06361684;0.6719987;0.789842
18.301;4.402031;0.06398205;0.6718173;0.790087
18.32634;4.427373;0.06433739;0.6721753;0.7905149
18.35778;4.458817;0.06476946;0.6720288;0.791
18.38137;4.482401;0.06539901;0.671566;0.7914357
18.42268;4.52371;0.06605756;0.6714329;0.7917418
18.44006;4.541098;0.06658587;0.6710862;0.7921146
18.46915;4.570181;0.06680369;0.6711122;0.7922965
18.49506;4.596091;0.06665251;0.6705574;0.7922969
18.52579;4.626822;0.06644558;0.6701981;0.7923222
18.55326;4.654296;0.06706277;0.6700443;0.7926335
18.58608;4.687117;0.06762234;0.6697516;0.79308
18.60972;4.710757;0.06807058;0.6693386;0.7933483
18.63785;4.738889;0.06931826;0.6688015;0.793525
18.66924;4.77027;0.06963561;0.6686898;0.7933875
18.69359;4.79463;0.06967833;0.6684173;0.793637
18.72472;4.825757;0.0699559;0.6685914;0.7939249
18.75521;4.856249;0.06960917;0.6684743;0.7940343
18.77925;4.880283;0.06909183;0.6681937;0.7944212
18.80314;4.904178;0.06875302;0.66834;0.7945895
18.82971;4.930742;0.06955239;0.6676949;0.7944721
18.85924;4.960275;0.07037412;0.6673211;0.7940388
18.88388;4.984917;0.07113411;0.66811;0.7941104
18.91741;5.01844;0.07211134;0.6686445;0.7949182
18.93907;5.040099;0.07302468;0.6685046;0.7954307
18.96548;5.066518;0.07394983;0.6674386;0.7956547
18.99277;5.093808;0.07454158;0.6667488;0.7957149
19.01727;5.118297;0.07453422;0.666485;0.7958024
19.04735;5.14838;0.07360198;0.6662648;0.7959548
19.07756;5.178597;0.07306545;0.665675;0.7957238
19.09849;5.199521;0.07278384;0.6657438;0.7956644
19.12673;5.22776;0.07232669;0.6664141;0.7964737
19.15125;5.252286;0.07258077;0.6667299;0.7964679
19.17348;5.274514;0.07537191;0.6683354;0.7974703
19.20685;5.307888;0.07618664;0.6684921;0.7971948
19.2313;5.33233;0.0773086;0.6684715;0.7976886
19.26038;5.361413;0.07776515;0.6694515;0.7977169
19.28936;5.390391;0.07840478;0.6688087;0.7974922
19.31515;5.416182;0.07915941;0.6678735;0.796971
19.34036;5.441396;0.08035361;0.6674652;0.7967991
19.37069;5.471721;0.0799421;0.6674069;0.7969456
19.4002;5.501228;0.08069292;0.6674867;0.797151
19.42492;5.525947;0.08172035;0.6668748;0.7972412
19.44173;5.542758;0.083033;0.6665975;0.7975355
19.47295;5.573983;0.08401176;0.6669899;0.797953
19.50134;5.602367;0.08299574;0.6668215;0.7977094
19.52754;5.628575;0.08388303;0.6670167;0.7982651
19.56354;5.664568;0.08340652;0.666402;0.7990578
19.58264;5.683676;0.08311839;0.6655507;0.7991135
19.60501;5.706045;0.08282101;0.665131;0.7990933
19.62907;5.730101;0.08214532;0.6651484;0.7996676
19.65865;5.759682;0.08183323;0.66631;0.7999924
19.68397;5.785003;0.08146687;0.6673031;0.8006757
19.71391;5.814947;0.08171029;0.668347;0.8012053
19.73751;5.838543;0.08164015;0.6687996;0.8008634
19.76203;5.863061;0.08153675;0.6687926;0.8003983
19.78086;5.881897;0.08178517;0.6687229;0.79992
19.80737;5.908406;0.08227232;0.6680285;0.798535
19.84026;5.941298;0.08222531;0.6675324;0.7978501
19.86937;5.9704;0.08211455;0.6664108;0.7973694
19.89356;5.994598;0.08231946;0.6669198;0.7984269
19.9171;6.018132;0.08261009;0.6674595;0.8000354
19.94221;6.04325;0.08372689;0.6680332;0.8014569
19.97207;6.073107;0.08395042;0.6684092;0.8017514
19.99748;6.098513;0.08520394;0.6679264;0.8014057
20.02527;6.126307;0.08582564;0.6668293;0.8011531
20.05218;6.153214;0.08648526;0.6658631;0.801624
20.07418;6.175213;0.086606;0.665781;0.8019524
20.09438;6.195414;0.08648784;0.6651201;0.8023821
20.12748;6.228519;0.08611202;0.6645851;0.802652
20.15369;6.254722;0.08607973;0.6645508;0.8033656
20.18776;6.288794;0.08605109;0.664586;0.8037456
20.20822;6.309258;0.08545536;0.6646296;0.8038052
20.23217;6.333203;0.08488864;0.6651136;0.8039073
20.26211;6.363151;0.08472618;0.6656496;0.8040603
20.28413;6.385164;0.08464383;0.666256;0.8041696
20.30875;6.409787;0.08462986;0.6670564;0.8044896
20.34303;6.444068;0.08463059;0.6674891;0.8045456
20.36346;6.464496;0.08463935;0.6673434;0.8045006
20.38827;6.489309;0.08426276;0.6673427;0.8047127
