TotalTime;SegmentTime;XTran1;YTran1;ZTran1
6.855004;0.4105825;0.07960407;0.6960075;0.7916403
6.872842;0.4284203;0.0787375;0.6945561;0.7909725
6.904216;0.4597944;0.07830036;0.693248;0.7905505
6.924274;0.479852;0.07700318;0.6901409;0.7883222
6.964142;0.5197203;0.07738435;0.6880209;0.7873494
6.986351;0.5419287;0.07754646;0.6864143;0.7870965
7.015389;0.5709673;0.07782815;0.6854571;0.7868242
7.040064;0.5956429;0.07799277;0.6846844;0.7850928
7.062302;0.6178801;0.07729945;0.6842523;0.7848636
7.096169;0.6517478;0.07722193;0.6847702;0.7858679
7.128999;0.6845775;0.07726683;0.6846159;0.7863576
7.153825;0.7094035;0.07636351;0.6851289;0.7868413
7.176188;0.7317662;0.07571828;0.6842877;0.7870356
7.207317;0.7628949;0.07553828;0.682487;0.7864037
7.237467;0.793045;0.07559192;0.682034;0.7868108
7.263496;0.8190746;0.0765876;0.68104;0.7860916
7.299417;0.8549947;0.07730255;0.6796322;0.7853784
7.320038;0.8756164;0.07718082;0.6789141;0.7856942
7.351215;0.9067934;0.0773735;0.6793307;0.7863327
7.368562;0.9241403;0.07672921;0.6793755;0.786193
7.406181;0.9617593;0.07626198;0.6795888;0.78619
7.424757;0.9803343;0.07599512;0.6795459;0.7865198
7.457166;1.012744;0.07613674;0.680108;0.7875766
7.488607;1.044185;0.07572854;0.6803512;0.7878953
7.51682;1.072399;0.07589558;0.6785221;0.7873826
7.542807;1.098385;0.07594167;0.6757328;0.7857572
7.570187;1.125766;0.07559541;0.6747701;0.7851097
7.596517;1.152095;0.07520453;0.6745637;0.7855567
7.631721;1.187299;0.07566255;0.6751257;0.7869393
7.652221;1.207799;0.07571755;0.6754872;0.7880265
7.680518;1.236096;0.07600778;0.6746046;0.7884296
7.707828;1.263406;0.07632041;0.6738409;0.7883087
7.723892;1.27947;0.0769196;0.6736149;0.7887959
7.761631;1.317209;0.07744783;0.673872;0.7896132
7.795308;1.350886;0.0777355;0.6738104;0.7903656
7.817814;1.373392;0.07719735;0.6741049;0.7904003
7.842794;1.398372;0.07706764;0.673099;0.7905962
7.873697;1.429275;0.07701673;0.6734875;0.7903296
7.898429;1.454007;0.07678849;0.6738345;0.7904388
7.921175;1.476753;0.0756226;0.6731892;0.7903292
7.960773;1.51635;0.07555741;0.6734045;0.7903025
7.984506;1.540083;0.07567393;0.6732068;0.7903172
8.008207;1.563784;0.07625756;0.6731194;0.790229
8.039012;1.594589;0.07650445;0.6723796;0.7898099
8.068961;1.624538;0.07730639;0.6720338;0.7896682
8.092297;1.647874;0.07704676;0.6719781;0.7893274
8.127422;1.683;0.07664546;0.6720771;0.7897005
8.147758;1.703335;0.07686686;0.6720233;0.7905259
8.173515;1.729093;0.07711753;0.6722674;0.7913305
8.199496;1.755074;0.07769918;0.6733803;0.7919183
8.229196;1.784773;0.07800959;0.6738147;0.7920632
8.255574;1.811152;0.07802272;0.6740844;0.7919294
8.28931;1.844887;0.07765298;0.6743018;0.7914609
8.310821;1.866398;0.07713163;0.6747131;0.7910904
8.340864;1.896442;0.07663389;0.6752752;0.7908037
8.366758;1.922336;0.0764294;0.6755876;0.7903921
8.395591;1.951168;0.07650068;0.6757283;0.7902318
8.420585;1.976162;0.07669026;0.675956;0.7901212
8.456985;2.012563;0.07696038;0.6757228;0.7898552
8.479681;2.035259;0.07714681;0.6754785;0.7896973
8.500821;2.056399;0.07796301;0.6755143;0.7896633
8.532176;2.087754;0.07809374;0.675719;0.7897408
8.556185;2.111763;0.07732475;0.6759467;0.7898174
8.58638;2.141958;0.07675946;0.6755674;0.7898539
8.614136;2.169714;0.07677832;0.6749982;0.7898915
8.642971;2.198549;0.07722837;0.6749089;0.7897276
8.664286;2.219864;0.07776044;0.6752158;0.7895792
8.694261;2.24984;0.07829668;0.675827;0.7895738
8.721419;2.276999;0.07842401;0.6762895;0.7896537
8.751297;2.306876;0.07831689;0.6763606;0.7897282
8.7807;2.336279;0.07794963;0.6765375;0.7899841
8.803042;2.358622;0.07749805;0.6765892;0.7902305
8.830055;2.385634;0.07712913;0.6762471;0.7901725
8.862073;2.417651;0.07706141;0.676198;0.7900376
8.878104;2.433683;0.07688849;0.6757023;0.7899824
8.916684;2.472263;0.07703891;0.6756297;0.7897105
8.947529;2.503108;0.07730899;0.6756615;0.789719
8.972632;2.528211;0.07735811;0.6756933;0.7900633
9.000385;2.555964;0.07764289;0.6753703;0.7908802
