TotalTime;SegmentTime;XTran1
5.558564;0.0345979;-0.1351407
5.576429;0.0524629;-0.1351468
5.598881;0.07491469;-0.1350099
5.622984;0.0990179;-0.1347496
5.653445;0.1294794;-0.1344692
5.675567;0.1516007;-0.1346048
5.698842;0.174876;-0.1346641
5.720057;0.1960906;-0.1353549
5.752935;0.2289695;-0.1354666
5.774967;0.2510014;-0.135342
5.798759;0.2747934;-0.1351
5.825517;0.3015511;-0.1348354
5.851966;0.3280009;-0.1346928
5.875025;0.3510598;-0.1347573
5.899855;0.3758898;-0.1349313
5.925272;0.401307;-0.135119
5.945015;0.4210499;-0.135181
5.975663;0.4516977;-0.1349958
6.003149;0.4791833;-0.1346686
6.027454;0.5034887;-0.1344958
6.053893;0.5299279;-0.1341424
6.076713;0.5527479;-0.1336665
6.100168;0.5762024;-0.1332891
6.122225;0.5982601;-0.1338086
6.148056;0.6240903;-0.1345676
6.173916;0.6499505;-0.1348356
6.197806;0.6738405;-0.1349744
6.221241;0.697275;-0.1348198
6.245324;0.7213581;-0.1346407
6.274361;0.7503955;-0.1344665
6.298115;0.7741492;-0.1343203
6.317971;0.7940052;-0.1338738
6.347551;0.8235859;-0.1337465
6.372746;0.8487805;-0.1336698
6.393934;0.8699687;-0.1337469
6.430592;0.9066259;-0.1337878
6.452173;0.928207;-0.1337379
6.47617;0.9522037;-0.1336923
6.505554;0.9815882;-0.134004
6.53954;1.015574;-0.1341089
6.564957;1.040991;-0.1341492
6.591506;1.06754;-0.1340788
6.610406;1.08644;-0.1341452
6.631704;1.107738;-0.1343588
6.658215;1.134249;-0.134302
6.675599;1.151634;-0.1335175
6.706741;1.182776;-0.1329593
6.734571;1.210606;-0.1328895
6.758143;1.234178;-0.1331252
6.782587;1.258621;-0.1331637
6.806648;1.282682;-0.1332778
6.829478;1.305512;-0.1340092
6.852267;1.328301;-0.1340681
6.880165;1.356199;-0.1338729
6.905511;1.381545;-0.133632
6.930473;1.406507;-0.1336664
6.957202;1.433236;-0.1339093
6.981465;1.4575;-0.1342885
7.004383;1.480417;-0.1345794
7.028151;1.504185;-0.1347747
7.050711;1.526745;-0.1347154
7.083811;1.559846;-0.1344405
7.10497;1.581004;-0.1344297
7.127225;1.60326;-0.1338332
7.151084;1.627119;-0.1335928
7.180781;1.656815;-0.1333174
7.204758;1.680792;-0.1329002
7.228164;1.704198;-0.1327643
7.250929;1.726963;-0.1324213
7.279238;1.755272;-0.1324927
7.303793;1.779827;-0.132384
7.327755;1.803789;-0.1325519
7.350499;1.826532;-0.1330445
7.375866;1.8519;-0.1327141
7.403065;1.879098;-0.1324266
7.426156;1.902189;-0.1324239
7.454367;1.930401;-0.1326075
7.474285;1.950319;-0.1329803
7.508811;1.984845;-0.1335138
7.539223;2.015257;-0.133613
7.561914;2.037948;-0.1336485
7.58534;2.061373;-0.1335595
7.610451;2.086485;-0.1334102
7.637269;2.113303;-0.1332379
7.660493;2.136528;-0.1334145
7.684674;2.160708;-0.1340699
7.707722;2.183756;-0.1346285
7.736856;2.212889;-0.1342276
7.759426;2.235459;-0.1334808
7.785219;2.261252;-0.1330919
7.807141;2.283175;-0.1332399
7.829327;2.305361;-0.1333031
7.856017;2.332051;-0.133179
7.883081;2.359115;-0.1328764
7.906314;2.382348;-0.1326152
7.929182;2.405216;-0.1322095
7.9531;2.429134;-0.1319481
7.981628;2.457662;-0.1319335
8.005424;2.481458;-0.1321549
8.02918;2.505213;-0.1325755
8.068779;2.544812;-0.1327098
8.093719;2.569751;-0.1326488
8.118019;2.594052;-0.1322659
8.139233;2.615265;-0.1320266
8.158559;2.634591;-0.1320319
8.178399;2.654431;-0.132193
8.210011;2.686044;-0.1316885
8.235204;2.711236;-0.1313731
8.258814;2.734846;-0.1314126
8.283292;2.759324;-0.1317684
8.30641;2.782442;-0.132076
8.335444;2.811476;-0.1326717
8.358813;2.834845;-0.1331086
8.383581;2.859613;-0.1332736
8.40638;2.882412;-0.133322
8.436107;2.912139;-0.1329756
8.462735;2.938767;-0.1325916
8.484512;2.960544;-0.1323491
8.507193;2.983225;-0.132034
8.529862;3.005894;-0.1318029
8.559706;3.035738;-0.1321647
8.584357;3.060389;-0.1325657
8.607916;3.083948;-0.1326385
8.62928;3.105312;-0.1327586
8.661301;0.0320206;-0.1327792
8.682767;0.0534869;-0.1329065
8.706984;0.0777034;-0.1330257
8.730923;0.1016427;-0.1332055
8.75446;0.1251808;-0.1329806
8.781553;0.1522739;-0.1330705
8.805905;0.1766257;-0.1330222
8.828891;0.1996114;-0.1331175
8.85487;0.2255907;-0.1330764
8.874289;0.2450092;-0.1332327
8.903664;0.2743838;-0.1333925
8.927367;0.2980872;-0.1328535
8.94985;0.3205702;-0.1322054
8.974248;0.3449681;-0.1320025
8.989897;0.3606166;-0.130951
9.036572;0.4072921;-0.1292227
9.061649;0.4323694;-0.1278231
9.082539;0.4532591;-0.1263937
9.106223;0.476944;-0.1246541
9.129376;0.5000973;-0.122184
9.164675;0.5353955;-0.1191189
9.186905;0.5576254;-0.1151159
9.214908;0.585628;-0.1114545
9.238854;0.6095752;-0.1080285
9.254394;0.6251147;-0.1034285
9.281158;0.6518793;-0.09819662
9.305398;0.6761191;-0.09304402
9.328299;0.6990194;-0.08793171
9.351397;0.7221177;-0.08203186
9.379464;0.7501857;-0.07588542
9.402914;0.7736353;-0.06867813
9.427439;0.7981598;-0.06135952
9.450183;0.8209038;-0.05145155
9.487178;0.8578985;-0.04472864
9.511282;0.8820024;-0.03721221
9.537922;0.9086424;-0.03004909
9.561188;0.9319081;-0.02002136
9.59485;0.9655704;-0.01360708
9.617366;0.9880863;-0.01054242
9.636706;1.007427;-0.000511289
9.670485;1.041205;0.004647799
9.694603;1.065324;0.009125203
9.716975;1.087695;0.01370411
9.739636;1.110357;0.01847425
9.769095;1.139815;0.02183564
9.793562;1.164282;0.0246375
9.815456;1.186176;0.02768658
9.843594;1.214313;0.0309627
9.865455;1.236174;0.0342292
9.888527;1.259246;0.03689544
9.915449;1.286168;0.03929994
9.938591;1.30931;0.0424638
9.962647;1.333366;0.04515508
9.98875;1.359469;0.04753357
10.0036;1.374321;0.05004181
10.02885;1.399572;0.05196293
10.05176;1.422478;0.05458759
10.07992;1.450637;0.05635658
10.10403;1.474749;0.05768797
10.12507;1.495791;0.05788128
10.14362;1.514342;0.05803689
10.17183;1.542556;0.05754298
10.20094;1.571657;0.05698183
10.21928;1.589997;0.05554521
10.25132;1.622042;0.05502369
10.27101;1.641733;0.05459242
10.29519;1.665908;0.05414294
10.31746;1.688179;0.05342083
10.34693;1.717651;0.05306552
10.37108;1.741797;0.05293052
10.39507;1.765788;0.05258635
10.41676;1.787483;0.05207228
10.45889;1.829605;0.05199827
10.48347;1.854186;0.05193377
10.50574;1.876464;0.05179565
10.52885;1.899573;0.05183034
10.56581;1.936525;0.05172418
10.59249;1.96321;0.05152519
10.61636;1.987076;0.05142819
10.64011;2.010833;0.05096649
10.66356;2.034277;0.05040606
10.68882;2.059539;0.05065592
10.71554;2.08626;0.05099111
10.73832;2.109035;0.05109458
10.77555;2.146266;0.05181703
10.80107;2.17179;0.05234694
10.82626;2.196976;0.05293782
10.84986;2.220582;0.05357221
10.86934;2.240059;0.05379844
10.88995;2.260664;0.0535044
10.91872;2.289435;0.05342792
10.93649;2.307212;0.05342384
10.9636;2.334321;0.05398387
10.99779;2.368504;0.05419188
11.01691;2.387628;0.0542703
11.04154;2.412259;0.05435712
11.0649;2.43562;0.05448576
11.08113;2.451845;0.05483686
11.11835;2.489067;0.05491658
11.13887;2.509591;0.05496272
11.16153;2.53225;0.055375
11.18533;2.556044;0.05543151
11.20779;2.578512;0.05540217
11.23229;2.603006;0.05518684
11.25533;2.626044;0.0549457
11.2834;2.654114;0.05466677
11.31009;0.0266947;0.05449662
11.33;0.0466041;0.05428904
11.35304;0.0696472;0.05401167
11.37357;0.0901784;0.05345381
11.40191;0.1185191;0.0532249
11.43734;0.1539481;0.05324775
11.4598;0.1764055;0.053544
11.48298;0.1995866;0.0533517
11.50944;0.2260431;0.0529829
11.5296;0.2462099;0.05227075
11.55271;0.2693128;0.05196657
11.58072;0.2973248;0.0519129
11.59797;0.314578;0.05166359
11.62661;0.3432192;0.05173643
11.65933;0.3759327;0.05183274
11.68101;0.3976133;0.05174553
11.70649;0.4230929;0.05168407
11.72784;0.4444472;0.05140726
11.7517;0.4683091;0.05197741
11.78111;0.4977174;0.05227184
11.80423;0.5208338;0.05228459
11.82337;0.5399789;0.05214179
11.86123;0.5778317;0.05187277
11.88626;0.6028695;0.05175899
11.90761;0.6242113;0.05168851
11.92511;0.6417112;0.05139207
11.95571;0.6723161;0.05078007
11.98287;0.6994765;0.05054013
12.00557;0.7221717;0.05049786
12.02487;0.7414781;0.05087101
12.05697;0.7735734;0.051286
12.07792;0.7945257;0.05153296
12.10538;0.8219819;0.05208782
12.12817;0.8447724;0.05241559
12.15404;0.8706427;0.0527252
12.17435;0.8909545;0.05313407
12.20259;0.9191958;0.05287205
12.22604;0.9426472;0.05239148
12.24817;0.964776;0.05212586
12.27411;0.9907191;0.05216899
12.30659;1.023194;0.05197874
12.33236;1.048967;0.05186266
12.35491;1.071514;0.0518548
12.38206;1.098666;0.05176897
12.41525;1.131856;0.05202655
12.43691;1.153511;0.05236188
12.45997;1.17657;0.05263292
12.48292;1.199525;0.05284188
12.51714;1.233742;0.05289826
12.53825;1.25485;0.05289304
12.56168;1.278288;0.05263263
12.58582;1.302429;0.0522437
12.61046;1.32706;0.0522654
12.63673;1.353339;0.05243227
12.66079;1.377394;0.05265208
12.68635;1.402951;0.05266633
12.71151;1.42811;0.05280626
12.73708;1.453683;0.0528602
12.75693;1.473533;0.05279684
12.78623;1.502837;0.05267055
12.81172;1.528319;0.05258507
12.83888;1.555482;0.05233241
12.86257;1.57917;0.05203718
12.88585;1.60245;0.05163248
12.91729;1.633889;0.05143553
12.93972;1.656318;0.05155815
12.96369;1.680288;0.05152734
12.98273;1.699331;0.0513492
13.01642;1.733023;0.05118028
13.03965;1.75625;0.05099656
13.05574;1.772347;0.05096201
13.08298;1.799579;0.05136182
13.10544;1.822047;0.05175395
13.13471;1.851312;0.05204629
13.16241;1.879017;0.05212851
13.18297;1.899575;0.05218252
13.20063;1.917234;0.05209816
13.23547;1.952076;0.05185276
13.25988;1.976481;0.05202859
13.28276;1.99936;0.05217558
13.30727;2.023872;0.05230831
13.33753;2.054134;0.05221186
13.36146;2.078062;0.05202661
13.37948;2.09608;0.05176118
13.39995;2.116551;0.05135041
13.43322;2.149824;0.05137169
13.45915;2.175753;0.05158407
13.48437;2.200973;0.05191965
13.50652;2.223124;0.05221466
13.53414;2.250747;0.05228904
13.5586;2.275198;0.0521384
13.58314;2.299744;0.05189868
13.61021;2.326812;0.05156994
13.63666;2.353263;0.05146065
13.65477;2.371377;0.05106551
13.68355;2.400156;0.05097631
13.71378;2.430385;0.05113143
13.73221;2.448812;0.05161232
13.76093;2.477528;0.05186998
13.78684;2.503438;0.05188168
13.80828;2.524878;0.05171931
13.82769;2.544295;0.05154827
13.85421;2.570815;0.05159459
13.88249;2.599094;0.05183814
13.90535;2.621952;0.05200015
13.92288;2.639485;0.05185514
13.95219;2.668796;0.05173555
13.97271;2.689313;0.05194379
14.0021;2.718707;0.05228405
14.02941;2.74601;0.05256568
14.05744;2.774038;0.05282761
14.08179;2.798388;0.05273467
14.10582;2.82242;0.05232108
14.12801;2.844617;0.05219141
14.15972;2.876326;0.05178551
14.18201;2.898612;0.05166228
14.20749;2.924097;0.05179447
14.23052;2.947123;0.05158143
14.25851;2.97511;0.0514748
14.27712;2.993723;0.05163531
14.30679;0.0296728;0.05221869
14.3323;0.0551773;0.0523539
14.35186;0.0747434;0.05237816
14.3814;0.1042754;0.05226471
14.40634;0.1292245;0.05235009
14.42807;0.1509525;0.05244964
14.45398;0.1768605;0.05141541
14.48505;0.2079311;0.05081493
14.50779;0.2306698;0.05040899
14.53058;0.2534565;0.05011567
14.55957;0.28245;0.05028614
14.58533;0.3082068;0.05037224
14.61076;0.3336385;0.05030745
14.63656;0.3594378;0.05034073
14.65991;0.382789;0.05046465
14.68483;0.4077126;0.05031858
14.71228;0.4351582;0.0498447
14.73597;0.4588494;0.04923505
14.75924;0.4821241;0.04864998
14.78837;0.5112464;0.04775171
14.80704;0.5299188;0.04703279
14.8296;0.552475;0.04543883
14.85984;0.5827202;0.04444427
14.88257;0.6054522;0.04402535
14.89966;0.6225381;0.04304918
14.9279;0.6507776;0.042477
14.95217;0.6750481;0.04229603
14.97845;0.7013286;0.0427646
15.0014;0.7242787;0.04241036
15.02641;0.7492952;0.04186263
15.04794;0.7708212;0.04061367
15.0719;0.7947769;0.03669033
15.10315;0.8260316;0.03279447
15.12486;0.8477415;0.02994183
15.14897;0.8718541;0.02730139
15.1725;0.8953779;0.02402407
15.19806;0.9209387;0.02221638
