TotalTime;SegmentTime;XTran1;;;;;
7.5305;0.0267194;-0.1326106;;;;;
7.561133;0.057353;-0.1329028;;;;;
7.583887;0.0801061;-0.1329672;;;;;
7.608798;0.1050173;-0.1327294;;;;;
7.629084;0.1253029;-0.1327566;;;;;
7.654157;0.1503766;-0.1322038;;;;;
7.678426;0.1746454;-0.1324448;;;;;
7.706025;0.2022446;-0.1328923;;;;;
7.729279;0.2254987;-0.1336805;;;;;
7.755503;0.2517225;-0.1339765;;;;;
7.779398;0.2756182;-0.1345603;;;;;
7.794829;0.2910493;-0.1352127;;;;;
7.826995;0.3232153;-0.1344258;;;;;
7.851379;0.3475987;-0.1338326;;;;;
7.870013;0.366233;-0.1343324;;;;;
7.897116;0.3933357;-0.1343226;;;;;
7.920108;0.4163284;-0.1335748;;;;;
7.946219;0.4424396;-0.1329163;;;;;
7.973855;0.4700753;-0.1330061;;;;;
7.995774;0.4919939;-0.1330972;;;;;
8.020482;0.5167025;-0.1330142;;;;;
8.041705;0.5379254;-0.1332237;;;;;
8.067295;0.563515;-0.1335319;;;;;
8.093924;0.5901433;-0.1335468;;;;;
8.117512;0.6137314;-0.1336263;;;;;
8.140628;0.6368479;-0.1337462;;;;;
8.165409;0.6616294;-0.1338422;;;;;
8.186985;0.683205;-0.1331467;;;;;
8.217297;0.7135162;-0.1334944;;;;;
8.240126;0.7363449;-0.1341206;;;;;
8.265255;0.7614745;-0.1341683;;;;;
8.287868;0.7840875;-0.1339442;;;;;
8.312583;0.8088031;-0.1341079;;;;;
8.339209;0.8354287;-0.1339557;;;;;
8.363039;0.8592594;-0.1337145;;;;;
8.386694;0.8829148;-0.1335315;;;;;
8.408638;0.9048592;-0.1336842;;;;;
8.432471;0.9286922;-0.1342649;;;;;
8.457879;0.9540996;-0.134325;;;;;
8.481767;0.9779871;-0.1334137;;;;;
8.505569;1.00179;-0.132662;;;;;
8.531269;1.02749;-0.1330595;;;;;
8.555083;1.051304;-0.1336688;;;;;
8.578559;1.07478;-0.1334438;;;;;
8.604953;1.101173;-0.1328529;;;;;
8.626477;1.122698;-0.1325208;;;;;
8.649462;1.145683;-0.1326128;;;;;
8.672786;1.169006;-0.1328876;;;;;
8.701905;1.198126;-0.1335244;;;;;
8.72522;1.221441;-0.1339389;;;;;
8.750037;1.246259;-0.1336859;;;;;
8.775569;1.27179;-0.1332145;;;;;
8.802246;1.298468;-0.1329545;;;;;
8.825777;1.321999;-0.1325993;;;;;
8.848474;1.344696;-0.1322961;;;;;
8.871335;1.367557;-0.1322809;;;;;
8.897256;1.393478;-0.1322778;;;;;
8.920019;1.416242;-0.1325761;;;;;
8.947385;1.443607;-0.1328132;;;;;
8.971019;1.467241;-0.1331297;;;;;
8.993698;1.48992;-0.1332389;;;;;
9.017323;1.513545;-0.1335496;;;;;
9.039269;1.535492;-0.1336197;;;;;
9.063084;1.559307;-0.1335331;;;;;
9.090143;1.586366;-0.1335417;;;;;
9.111344;1.607568;-0.1339456;;;;;
9.138198;1.634421;-0.1340729;;;;;
9.161278;1.657501;-0.1340138;;;;;
9.186962;1.683186;-0.1335622;;;;;
9.211257;1.707481;-0.1331954;;;;;
9.237575;1.733798;-0.1331275;;;;;
9.26027;1.756494;-0.1328113;;;;;
9.284451;1.780674;-0.1326156;;;;;
9.306793;1.803017;-0.1326786;;;;;
9.332193;1.828417;-0.1329;;;;;
9.355087;1.851311;-0.1328558;;;;;
9.382309;1.878533;-0.1328385;;;;;
9.404633;1.900857;-0.1328849;;;;;
9.429926;1.92615;-0.1329762;;;;;
9.451961;1.948186;-0.133184;;;;;
9.474684;1.970909;-0.1334148;;;;;
9.499705;1.99593;-0.1334774;;;;;
9.525786;2.022012;-0.1335635;;;;;
9.551646;2.047871;-0.1337055;;;;;
9.577531;2.073756;-0.1336778;;;;;
9.597793;2.094018;-0.1334573;;;;;
9.62281;2.119035;-0.1331796;;;;;
9.649669;2.145894;-0.1328519;;;;;
9.67248;2.168705;-0.1326646;;;;;
9.694786;2.191012;-0.1326691;;;;;
9.719207;2.215433;-0.1329158;;;;;
9.746773;2.242998;-0.1334357;;;;;
9.771557;2.267783;-0.1336089;;;;;
9.788486;2.284713;-0.1338333;;;;;
9.820614;2.31684;-0.1338231;;;;;
9.844165;2.340391;-0.1337069;;;;;
9.872399;2.368625;-0.1335825;;;;;
9.894508;2.390735;-0.1335202;;;;;
9.918324;2.41455;-0.1338984;;;;;
